KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
W05000209 : Hawarden,"1,887","1,843",18,10
W05000210 : Higher Kinnerton,"1,697","1,670",8,0
W05000211 : Holywell Central,"1,988","1,946",28,1
W05000212 : Holywell East,"1,758","1,735",11,2
W05000213 : Holywell West,"2,399","2,348",28,4
W05000214 : Hope,"2,605","2,588",6,2
W05000215 : Leeswood,"2,135","2,105",9,2
W05000216 : Llanfynydd,"1,850","1,837",8,0
W05000217 : Mancot,"3,496","3,454",27,2
W05000218 : Mold Broncoed,"2,695","2,635",41,3
W05000219 : Mold East,"2,006","1,977",18,0
W05000220 : Mold South,"2,716","2,683",16,2
W05000221 : Mold West,"2,641","2,585",16,12
W05000222 : Mostyn,"1,844","1,833",2,0
W05000223 : New Brighton,"3,001","2,982",6,4
W05000224 : Northop,"3,049","3,007",24,0
W05000225 : Northop Hall,"1,530","1,514",6,2
W05000226 : Penyffordd,"3,874","3,840",17,2
W05000227 : Queensferry,"2,109","2,053",34,2
W05000228 : Saltney Mold Junction,"1,373","1,329",30,3
W05000229 : Saltney Stonebridge,"3,759","3,667",57,5
W05000230 : Sealand,"2,996","2,911",51,2
W05000231 : Shotton East,"1,958","1,901",41,3
W05000232 : Shotton Higher,"2,576","2,511",40,9
W05000233 : Shotton West,"2,129","2,051",56,1
W05000234 : Trelawnyd and Gwaenysgor,"1,838","1,820",4,3
W05000235 : Treuddyn,"1,627","1,611",2,1
W05000236 : Whitford,"2,322","2,300",12,0
W05000237 : Acton,"3,165","3,074",37,16
W05000238 : Borras Park,"2,359","2,320",25,3
W05000239 : Bronington,"3,179","3,155",13,2
W05000903 : Brymbo,"3,981","3,897",33,18
W05000241 : Brynyffynnon,"3,448","2,955",398,27
W05000904 : Bryn Cefn,"2,175","2,152",12,0
W05000905 : Cartrefle,"2,393","2,268",70,12
W05000244 : Cefn,"5,074","5,027",12,2
W05000245 : Dyffryn Ceiriog/Ceiriog Valley,"2,179","2,163",6,0
W05000246 : Chirk North,"2,432","2,405",10,3
W05000247 : Chirk South,"2,036","2,007",5,4
W05000906 : Coedpoeth,"4,702","4,630",30,9
W05000249 : Erddig,"2,200","2,033",119,19
W05000250 : Esclusham,"2,766","2,680",52,4
W05000251 : Garden Village,"2,036","2,008",10,2
W05000907 : Gresford East and West,"2,730","2,681",30,0
W05000253 : Grosvenor,"2,690","2,332",272,36
W05000254 : Gwenfro,"1,831","1,766",31,19
W05000908 : Gwersyllt East and South,"4,773","4,657",38,28
W05000256 : Gwersyllt North,"2,864","2,784",36,6
W05000257 : Gwersyllt West,"3,040","2,971",25,14
W05000258 : Hermitage,"2,205","2,110",48,22
W05000909 : Holt,"3,587","3,511",49,8
W05000260 : Johnstown,"3,266","3,180",47,6
W05000261 : Little Acton,"2,322","2,286",18,6
W05000262 : Llangollen Rural,"2,059","2,025",13,3
W05000263 : Llay,"4,814","4,774",14,2
W05000264 : Maesydre,"1,950","1,883",35,12
W05000265 : Marchwiel,"2,371","2,345",12,7
W05000266 : Marford and Hoseley,"2,280","2,207",23,7
W05000910 : Minera,"2,472","2,442",16,3
W05000268 : New Broughton,"3,448","3,373",29,20
W05000269 : Offa,"2,648","2,277",291,33
W05000270 : Overton,"3,315","3,285",13,2
W05000271 : Pant,"2,335","2,285",29,7
W05000272 : Penycae,"2,205","2,160",6,7
W05000273 : Penycae and Ruabon South,"2,533","2,490",10,6
W05000274 : Plas Madoc,"1,977","1,897",22,35
W05000275 : Ponciau,"4,842","4,755",34,25
W05000276 : Queensway,"2,685","2,563",39,43
W05000911 : Rhosnesni,"3,683","3,580",64,12
W05000278 : Rossett,"3,231","3,166",31,1
W05000279 : Ruabon,"2,925","2,836",32,39
W05000280 : Smithfield,"2,671","2,512",82,25
W05000281 : Stansty,"2,114","2,081",19,0
W05000912 : Whitegate,"2,530","2,421",46,37
W05000283 : Wynnstay,"2,323","2,238",35,33
W05000284 : Aber-craf,"1,424","1,417",2,1
W05000285 : Banwy,"1,011","1,001",4,0
W05000286 : Beguildy,"1,411","1,400",6,0
W05000287 : Berriew,"1,334","1,329",1,1
W05000288 : Blaen Hafren,"2,294","2,283",5,4
W05000289 : Bronllys,"1,282","1,268",11,0
W05000290 : Builth,"2,568","2,527",21,6
W05000291 : Bwlch,"1,026",994,17,2
W05000292 : Caersws,"2,316","2,306",0,1
W05000293 : Churchstoke,"1,691","1,660",16,0
W05000294 : Crickhowell,"2,801","2,702",75,2
W05000295 : Cwm-twrch,"2,053","2,017",20,3
W05000296 : Disserth and Trecoed,"1,239","1,229",1,2
W05000297 : Dolforwyn,"1,972","1,961",2,0
W05000298 : Felin-f`ch,"1,350","1,345",2,0
W05000299 : Forden,"1,426","1,419",2,1
W05000300 : Glantwymyn,"2,040","2,034",1,0
W05000301 : Glasbury,"2,299","2,282",6,2
W05000302 : Guilsfield,"2,319","2,302",2,2
W05000303 : Gwernyfed,"1,527","1,515",2,1
W05000304 : Hay,"1,598","1,585",6,0
W05000305 : Kerry,"2,057","2,043",4,1
W05000306 : Knighton,"3,007","2,985",8,0
W05000307 : Llanafanfawr,"1,386","1,374",3,2
W05000308 : Llanbadarn Fawr,"1,129","1,122",4,1
W05000309 : Llanbrynmair,920,915,1,0
W05000310 : Llandinam,"1,405","1,395",5,0
W05000311 : Llandrindod East/Llandrindod West,"1,227","1,197",15,1
W05000312 : Llandrindod North,"2,059","2,014",22,1
W05000313 : Llandrindod South,"2,023","1,989",12,0
W05000314 : Llandrinio,"2,191","2,178",0,1
W05000315 : Llandysilio,"1,789","1,770",12,0
W05000316 : Llanelwedd,"1,206","1,196",5,0
W05000317 : Llanfair Caereinion,"1,810","1,794",2,3
W05000318 : Llanfihangel,"1,049","1,046",1,0
W05000319 : Llanfyllin,"1,532","1,517",6,0
W05000320 : Llangattock,999,972,20,0
W05000321 : Llangors,"1,080","1,069",6,1
W05000322 : Llangunllo,"1,255","1,229",3,3
W05000893 : Llangynidr,"1,036","1,012",14,1
W05000324 : Llanidloes,"2,929","2,900",7,7
W05000325 : Llanwddyn,"1,036","1,027",1,0
W05000326 : Llanrhaeadr-ym-Mochnant/Llansilin,"2,295","2,271",8,3
W05000327 : Llansantffraid,"1,880","1,860",15,3
W05000328 : Llanwrtyd Wells,"1,875","1,843",10,2
W05000329 : Llanyre,"1,141","1,134",5,0
W05000330 : Machynlleth,"2,235","2,201",13,0
W05000331 : Maescar/Llywel,"1,703","1,683",6,2
W05000332 : Meifod,"1,322","1,315",2,0
W05000333 : Montgomery,"1,295","1,282",2,5
W05000334 : Nantmel,"1,465","1,455",2,1
W05000335 : Newtown Central,"3,278","3,200",15,2
W05000336 : Newtown East,"2,069","2,005",38,4
W05000337 : Newtown Llanllwchaiarn North,"2,267","2,224",29,1
W05000338 : Newtown Llanllwchaiarn West,"1,844","1,812",17,0
W05000339 : Newtown South,"1,899","1,887",2,4
W05000340 : Old Radnor,"1,562","1,550",7,1
W05000341 : Presteigne,"2,710","2,672",10,5
W05000342 : Rhayader,"2,088","2,064",12,4
W05000343 : Rhiwcynon,"2,180","2,146",9,5
W05000344 : St. David Within,"1,797","1,700",82,1
W05000345 : St. John,"3,342","3,195",121,4
W05000346 : St. Mary,"3,111","2,777",264,9
W05000347 : Talgarth,"1,724","1,702",5,0
W05000894 : Talybont-on-Usk,"1,923","1,908",4,2
W05000349 : Tawe-Uchaf,"2,118","2,094",14,1
W05000350 : Trewern,"1,430","1,418",2,5
W05000351 : Welshpool Castle,"1,538","1,510",15,4
W05000352 : Welshpool Gungrog,"2,826","2,783",20,2
W05000353 : Welshpool Llanerchyddol,"2,300","2,255",15,5
W05000354 : Ynyscedwyn,"2,071","2,038",14,5
W05000355 : Yscir,"1,038","1,029",3,1
W05000356 : Ystradgynlais,"2,544","2,494",28,1
W05000357 : Aberaeron,"1,422","1,402",6,4
W05000358 : Aberporth,"2,374","2,316",16,23
W05000359 : Aberteifi/Cardigan-Mwldan,"1,784","1,745",28,1
W05000360 : Aberteifi/Cardigan-Rhyd-y-Fuwch,"1,226","1,172",27,0
W05000361 : Aberteifi/Cardigan-Teifi,"1,174","1,136",15,3
W05000362 : Aberystwyth Bronglais,"2,075","1,923",66,19
W05000363 : Aberystwyth Canol/Central,"2,471","2,296",103,18
W05000364 : Aberystwyth Gogledd/North,"2,641","2,450",100,9
W05000365 : Aberystwyth Penparcau,"3,122","2,992",60,11
W05000366 : Aberystwyth Rheidol,"2,731","2,546",89,16
W05000367 : Beulah,"1,627","1,605",4,4
W05000368 : Borth,"2,078","2,055",7,5
W05000369 : Capel Dewi,"1,293","1,288",0,0
W05000370 : Ceulanamaesmawr,"1,910","1,856",15,23
W05000371 : Ciliau Aeron,"1,974","1,952",8,2
W05000372 : Faenor,"2,545","2,318",145,23
W05000373 : Lampeter,"2,970","2,756",94,21
W05000374 : Llanarth,"1,616","1,599",5,0
W05000375 : Llanbadarn Fawr-Padarn,"1,042",958,34,2
W05000376 : Llanbadarn Fawr-Sulien,"2,338","2,151",82,26
W05000377 : Llandyfriog,"1,835","1,824",3,1
W05000378 : Llandysilio-gogo,"1,979","1,957",9,5
W05000379 : Llandysul Town,"1,439","1,427",2,0
W05000380 : Llanfarian,"1,541","1,490",21,1
W05000381 : Llanfihangel Ystrad,"2,037","2,009",10,2
W05000382 : Llangeitho,"1,459","1,446",5,3
W05000383 : Llangybi,"1,484","1,455",12,4
W05000384 : Llanrhystyd,"1,562","1,529",3,4
W05000385 : Llansantffraed,"2,386","2,358",6,1
W05000386 : Llanwenog,"1,854","1,809",21,2
W05000387 : Lledrod,"2,209","2,177",3,2
W05000388 : Melindwr,"2,020","1,982",7,6
W05000389 : New Quay,"1,082","1,058",6,0
W05000390 : Penbryn,"2,045","2,023",8,1
W05000391 : Pen-parc,"2,308","2,291",5,2
W05000392 : Tirymynach,"1,901","1,844",29,4
W05000393 : Trefeurig,"1,771","1,727",32,4
W05000394 : Tregaron,"1,213","1,202",1,0
W05000395 : Troedyraur,"1,310","1,292",1,1
W05000396 : Ystwyth,"2,074","2,027",11,13
W05000946 : Amroth,"1,232","1,226",3,0
W05000947 : Burton,"1,826","1,811",3,0
W05000948 : Camrose,"2,565","2,519",26,2
W05000400 : Carew,"1,532","1,520",2,1
W05000949 : Cilgerran,"2,058","2,028",10,0
W05000402 : Clydau,"1,451","1,433",3,4
W05000950 : Crymych,"2,463","2,444",5,1
W05000951 : Dinas Cross,"1,696","1,682",4,0
W05000952 : East Williamston,"2,418","2,372",28,3
W05000406 : Fishguard North East,"1,873","1,845",12,5
W05000407 : Fishguard North West,"1,546","1,532",3,0
W05000408 : Goodwick,"1,988","1,961",10,0
W05000409 : Haverfordwest: Castle,"2,301","2,201",72,15
W05000410 : Haverfordwest: Garth,"2,801","2,701",69,5
W05000953 : Haverfordwest: Portfield,"2,260","2,173",47,6
W05000954 : Haverfordwest: Prendergast,"2,184","1,932",190,22
W05000413 : Haverfordwest: Priory,"2,496","2,401",65,7
W05000414 : Hundleton,"1,877","1,858",7,1
W05000415 : Johnston,"2,517","2,465",23,11
W05000955 : Kilgetty/Begelly,"2,262","2,218",33,1
W05000417 : Lampeter Velfrey,"1,598","1,575",15,0
W05000418 : Lamphey,"1,671","1,656",6,1
W05000419 : Letterston,"2,352","2,333",7,1
W05000956 : Llangwm,"2,336","2,311",7,7
W05000421 : Llanrhian,"1,464","1,458",2,0
W05000422 : Maenclochog,"3,104","3,066",15,2
W05000423 : Manorbier,"2,083","2,050",19,1
W05000957 : Martletwy,"1,970","1,957",7,1
W05000425 : Merlin's Bridge,"2,202","2,150",20,8
W05000426 : Milford: Central,"2,003","1,931",43,4
W05000427 : Milford: East,"2,157","2,144",5,1
W05000428 : Milford: Hakin,"2,239","2,223",7,2
W05000429 : Milford: Hubberston,"2,491","2,464",9,0
W05000430 : Milford: North,"2,763","2,691",43,1
W05000431 : Milford: West,"2,254","2,222",8,4
W05000432 : Narberth,"1,923","1,893",9,0
W05000433 : Narberth Rural,"1,509","1,477",12,9
W05000434 : Newport,"1,161","1,151",7,0
W05000435 : Neyland: East,"2,219","2,186",10,7
W05000436 : Neyland: West,"2,150","2,129",9,2
W05000437 : Pembroke Dock: Central,"1,658","1,612",21,5
W05000438 : Pembroke Dock: Llanion,"2,850","2,784",17,3
W05000439 : Pembroke Dock: Market,"1,897","1,845",18,9
W05000440 : Pembroke Dock: Pennar,"3,348","3,298",25,1
W05000441 : Pembroke: Monkton,"1,650","1,634",8,0
W05000442 : Pembroke: St. Mary North,"2,060","2,029",15,0
W05000443 : Pembroke: St. Mary South,"1,434","1,414",9,1
W05000444 : Pembroke: St. Michael,"2,408","2,380",10,2
W05000445 : Penally,"1,710","1,678",16,4
W05000958 : Rudbaxton,768,759,9,0
W05000447 : St. David's,"1,841","1,825",10,0
W05000448 : St. Dogmaels,"2,218","2,184",10,2
W05000449 : St. Ishmael's,"1,405","1,400",3,1
W05000450 : Saundersfoot,"2,628","2,555",40,8
W05000451 : Scleddau,"1,487","1,463",7,0
W05000452 : Solva,"1,877","1,849",4,3
W05000453 : Tenby: North,"2,112","2,060",31,1
W05000454 : Tenby: South,"2,584","2,486",45,3
W05000455 : The Havens,"1,536","1,521",10,1
W05000456 : Wiston,"1,973","1,956",9,0
W05000457 : Abergwili,"2,315","2,289",16,2
W05000458 : Ammanford,"2,662","2,580",50,8
W05000459 : Betws,"2,175","2,153",2,1
W05000460 : Bigyn,"6,761","6,630",87,2
W05000461 : Burry Port,"4,246","4,208",17,1
W05000462 : Bynea,"4,207","4,114",53,3
W05000463 : Carmarthen Town North,"5,142","4,890",162,26
W05000464 : Carmarthen Town South,"3,800","3,638",104,15
W05000465 : Carmarthen Town West,"5,243","5,063",105,17
W05000466 : Cenarth,"2,214","2,178",9,1
W05000467 : Cilycwm,"1,518","1,481",13,16
W05000468 : Cynwyl Elfed,"3,018","2,981",13,4
W05000469 : Cynwyl Gaeo,"1,613","1,586",16,3
W05000470 : Dafen,"3,597","3,458",106,9
W05000471 : Elli,"3,203","3,129",41,0
W05000472 : Felinfoel,"2,054","1,989",47,0
W05000473 : Garnant,"2,139","2,104",15,12
W05000474 : Glanamman,"2,347","2,312",16,1
W05000475 : Glanymor,"5,668","5,493",101,6
W05000476 : Glyn,"2,155","2,133",14,0
W05000477 : Gorslas,"4,066","4,027",7,5
W05000478 : Hendy,"3,226","3,189",16,4
W05000479 : Hengoed,"3,745","3,674",43,6
W05000480 : Kidwelly,"3,523","3,481",15,8
W05000481 : Laugharne Township,"2,851","2,817",8,0
W05000482 : Llanboidy,"2,087","2,061",4,2
W05000483 : Llanddarog,"1,963","1,939",10,3
W05000484 : Llandeilo,"2,971","2,932",9,5
W05000485 : Llandovery,"2,689","2,619",38,3
W05000486 : Llandybie,"3,994","3,957",17,2
W05000487 : Llanegwad,"2,440","2,411",11,0
W05000488 : Llanfihangel Aberbythych,"1,851","1,814",14,5
W05000489 : Llanfihangel-ar-Arth,"2,851","2,828",15,0
W05000490 : Llangadog,"1,929","1,911",2,1
W05000491 : Llangeler,"3,427","3,382",15,8
W05000492 : Llangennech,"4,964","4,845",73,10
W05000493 : Llangunnor,"2,381","2,344",32,1
W05000494 : Llangyndeyrn,"3,102","3,079",9,3
W05000495 : Llannon,"5,270","5,162",53,20
W05000496 : Llansteffan,"2,006","1,983",7,0
W05000497 : Llanybydder,"2,807","2,775",19,1
W05000498 : Lliedi,"5,457","5,315",83,6
W05000499 : Llwynhendy,"4,506","4,399",59,11
W05000500 : Manordeilo and Salem,"2,248","2,225",6,5
W05000501 : Pembrey,"4,301","4,256",21,5
W05000502 : Penygroes,"2,889","2,840",23,8
W05000503 : Pontamman,"2,749","2,704",20,2
W05000504 : Pontyberem,"2,768","2,757",4,1
W05000505 : Quarter Bach,"2,921","2,878",17,0
W05000506 : St. Clears,"2,995","2,964",13,2
W05000507 : St. Ishmael,"2,674","2,642",16,1
W05000508 : Saron,"4,111","4,066",21,7
W05000509 : Swiss Valley,"2,536","2,490",39,0
W05000510 : Trelech,"2,072","2,062",0,0
W05000511 : Trimsaran,"2,541","2,516",7,0
W05000512 : Tycroes,"2,438","2,395",16,4
W05000513 : Tyisha,"4,079","3,943",75,11
W05000514 : Whitland,"2,272","2,232",13,2
W05000515 : Bishopston,"3,251","3,195",13,5
W05000516 : Bonymaen,"6,857","6,637",96,47
W05000517 : Castle,"15,883","12,681","1,862",400
W05000518 : Clydach,"7,503","7,309",97,19
W05000519 : Cockett,"13,362","12,748",314,75
W05000520 : Cwmbwrla,"7,972","7,708",155,44
W05000521 : Dunvant,"4,383","4,303",22,2
W05000522 : Fairwood,"2,914","2,844",30,5
W05000523 : Gorseinon,"4,301","4,191",54,10
W05000524 : Gower,"3,696","3,665",8,5
W05000525 : Gowerton,"5,212","5,062",71,11
W05000526 : Killay North,"3,463","3,171",182,37
W05000527 : Killay South,"2,239","2,158",40,1
W05000528 : Kingsbridge,"4,008","3,971",11,4
W05000529 : Landore,"6,168","5,603",454,37
W05000530 : Llangyfelach,"5,039","4,961",40,6
W05000531 : Llansamlet,"14,433","13,951",277,80
W05000532 : Lower Loughor,"2,355","2,331",15,2
W05000533 : Mawr,"1,850","1,819",13,0
W05000534 : Mayals,"2,676","2,509",93,4
W05000535 : Morriston,"16,928","15,864",674,139
W05000536 : Mynyddbach,"8,872","8,646",111,43
W05000537 : Newton,"3,316","3,267",20,4
W05000538 : Oystermouth,"4,160","4,037",48,5
W05000539 : Penclawdd,"3,635","3,615",1,3
W05000540 : Penderry,"12,119","11,340",329,212
W05000541 : Penllergaer,"2,868","2,742",84,11
W05000542 : Pennard,"2,688","2,652",7,4
W05000543 : Penyrheol,"5,523","5,428",44,8
W05000544 : Pontardulais,"6,281","6,189",35,13
W05000545 : St. Thomas,"7,187","6,659",285,74
W05000546 : Sketty,"14,301","12,978",756,96
W05000547 : Townhill,"8,696","7,962",257,208
W05000548 : Uplands,"15,665","13,574","1,181",345
W05000549 : Upper Loughor,"2,771","2,722",23,7
W05000550 : West Cross,"6,448","6,205",101,17
W05000551 : Aberavon,"5,452","5,215",140,40
W05000552 : Aberdulais,"2,400","2,365",18,1
W05000553 : Allt-wen,"2,327","2,296",17,0
W05000554 : Baglan,"6,819","6,712",43,17
W05000555 : Blaengwrach,"1,989","1,973",4,0
W05000556 : Briton Ferry East,"2,909","2,831",35,4
W05000557 : Briton Ferry West,"3,002","2,950",23,12
W05000558 : Bryn and Cwmavon,"6,538","6,475",23,5
W05000559 : Bryn-coch North,"2,176","2,161",12,0
W05000560 : Bryn-coch South,"5,891","5,809",47,2
W05000561 : Cadoxton,"1,684","1,669",3,4
W05000562 : Cimla,"3,940","3,866",44,17
W05000563 : Coedffranc Central,"3,990","3,907",46,21
W05000564 : Coedffranc North,"2,411","2,385",12,0
W05000565 : Coedffranc West,"2,652","2,571",39,7
W05000566 : Crynant,"1,910","1,897",5,5
W05000567 : Cwmllynfell,"1,172","1,156",3,4
W05000568 : Cymmer,"2,825","2,793",11,3
W05000569 : Dyffryn,"3,162","3,140",8,0
W05000570 : Glyncorrwg,"1,096","1,090",5,0
W05000571 : Glynneath,"3,430","3,401",9,3
W05000572 : Godre'r graig,"1,644","1,632",5,1
W05000573 : Gwaun-Cae-Gurwen,"2,910","2,865",23,6
W05000574 : Gwynfi,"1,362","1,341",6,2
W05000575 : Lower Brynamman,"1,330","1,300",8,12
W05000576 : Margam,"3,017","2,951",47,3
W05000577 : Neath East,"6,401","6,217",94,7
W05000578 : Neath North,"3,942","3,833",56,11
W05000579 : Neath South,"4,975","4,860",53,13
W05000580 : Onllwyn,"1,194","1,186",0,1
W05000581 : Pelenna,"1,152","1,137",13,0
W05000582 : Pontardawe,"5,421","5,333",39,4
W05000583 : Port Talbot,"5,641","5,307",216,35
W05000584 : Resolven,"3,135","3,114",11,0
W05000585 : Rhos,"2,442","2,413",13,1
W05000586 : Sandfields East,"6,895","6,710",81,31
W05000587 : Sandfields West,"6,725","6,592",49,11
W05000588 : Seven Sisters,"2,123","2,107",6,0
W05000589 : Tai-bach,"4,799","4,707",51,5
W05000590 : Tonna,"2,499","2,452",23,5
W05000591 : Trebanos,"1,411","1,390",14,1
W05000592 : Ystalyfera,"3,019","2,978",14,5
W05000593 : Aberkenfig,"2,039","1,980",32,15
W05000594 : Bettws,"2,253","2,228",8,3
W05000595 : Blackmill,"2,493","2,454",17,1
W05000596 : Blaengarw,"1,789","1,771",0,4
W05000896 : Brackla,"11,749","11,364",204,26
W05000598 : Bryncethin,"1,319","1,297",5,1
W05000599 : Bryncoch,"2,252","2,183",42,5
"W05000897 : Bryntirion, Laleston and Merthyr Mawr","8,713","8,372",185,34
W05000601 : Caerau,"6,995","6,931",28,2
W05000602 : Cefn Cribwr,"1,481","1,467",3,1
W05000603 : Cefn Glas,"1,537","1,511",15,5
W05000604 : Coity,"2,071","1,928",30,30
W05000605 : Cornelly,"7,059","6,969",45,7
W05000898 : Coychurch Lower,"1,365","1,339",14,3
W05000607 : Felindre,"2,774","2,729",25,3
W05000608 : Hendre,"4,125","4,065",30,7
W05000609 : Litchard,"2,147","2,082",40,3
W05000610 : Llangeinor,"1,243","1,234",4,1
W05000611 : Llangewydd and Brynhyfryd,"2,603","2,554",24,3
W05000612 : Llangynwyd,"3,032","2,991",17,0
W05000613 : Maesteg East,"4,773","4,701",35,17
W05000614 : Maesteg West,"5,812","5,756",31,6
W05000615 : Morfa,"4,692","4,514",103,6
W05000616 : Nant-y-moel,"2,344","2,304",14,9
W05000617 : Newcastle,"5,421","5,279",82,12
W05000618 : Newton,"3,608","3,561",15,8
W05000619 : Nottage,"3,293","3,245",20,0
W05000620 : Ogmore Vale,"3,117","3,044",16,24
W05000899 : Oldcastle,"4,799","4,667",70,18
W05000622 : Pendre,"1,860","1,671",161,3
W05000623 : Penprysg,"3,155","3,110",19,0
W05000624 : Pen-y-fai,"2,447","2,352",57,7
W05000625 : Pontycymmer,"2,499","2,479",11,1
W05000626 : Porthcawl East Central,"3,388","3,311",32,5
W05000627 : Porthcawl West Central,"3,449","3,385",19,6
W05000628 : Pyle,"7,405","7,278",59,25
W05000629 : Rest Bay,"2,267","2,242",11,1
W05000630 : Sarn,"2,443","2,412",5,6
W05000631 : Ynysawdre,"3,367","3,330",21,7
W05000632 : Baruc,"6,281","6,116",47,21
W05000633 : Buttrills,"6,357","6,037",144,51
W05000634 : Cadoc,"10,002","9,489",250,37
W05000635 : Castleland,"4,852","4,595",122,25
W05000636 : Cornerswell,"5,353","5,139",116,15
W05000637 : Court,"4,748","4,566",68,29
W05000638 : Cowbridge,"6,180","6,090",22,6
W05000932 : Dinas Powys,"7,799","7,594",85,15
W05000640 : Dyfan,"5,166","5,043",39,17
W05000641 : Gibbonsdown,"5,895","5,689",47,23
W05000642 : Illtyd,"8,201","7,929",101,35
W05000933 : Llandough,"1,977","1,736",163,17
W05000644 : Llandow/Ewenny,"2,643","2,603",17,4
W05000645 : Llantwit Major,"10,621","10,286",140,60
W05000646 : Peterston-super-Ely,"2,289","2,239",14,3
W05000934 : Plymouth,"5,836","5,589",131,11
W05000648 : Rhoose,"6,907","6,778",31,18
W05000649 : St. Athan,"4,495","4,370",27,31
W05000650 : St. Augustine's,"6,478","6,142",198,32
W05000651 : St. Bride's Major,"2,638","2,609",7,2
W05000652 : Stanwell,"4,416","4,224",85,24
W05000935 : Sully,"4,543","4,393",71,11
