KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05002445 : Cosham,"10,914","2,735","1,558","2,349"
E05002446 : Drayton and Farlington,"10,600","1,896","1,377","3,240"
E05002447 : Eastney and Craneswater,"11,172","1,881","1,177","3,946"
E05002448 : Fratton,"12,136","2,633","1,927","2,306"
E05002449 : Hilsea,"10,888","2,518","1,665","2,268"
E05002450 : Milton,"11,522","2,234","1,471","3,062"
E05002451 : Nelson,"11,185","3,107","1,810","1,812"
E05002452 : Paulsgrove,"10,701","3,456","1,764","1,570"
E05002453 : St Jude,"11,277","1,502",922,"4,415"
E05002454 : St Thomas,"14,270","2,275","1,389","4,084"
E05002319 : Abbey,"10,940","1,310",980,"5,417"
E05002320 : Battle,"8,465","1,397","1,099","2,766"
E05002321 : Caversham,"7,642","1,170",918,"3,341"
E05002322 : Church,"8,584","1,799","1,104","1,959"
E05002323 : Katesgrove,"8,385","1,089",871,"3,523"
E05002324 : Kentwood,"7,562","1,559","1,268","1,994"
E05002325 : Mapledurham,"2,430",243,205,"1,290"
E05002326 : Minster,"8,319","1,423",989,"3,254"
E05002327 : Norcot,"7,835","1,918","1,172","2,005"
E05002328 : Park,"9,039",921,680,"3,599"
E05002329 : Peppard,"7,679","1,267","1,005","2,662"
E05002330 : Redlands,"8,638",786,541,"3,402"
E05002331 : Southcote,"6,814","1,834","1,093","1,579"
E05002332 : Thames,"7,382",817,602,"3,648"
E05002333 : Tilehurst,"7,271","1,689","1,243","1,654"
E05002334 : Whitley,"8,597","2,612","1,558","1,597"
E05002335 : Baylis and Stoke,"8,413","2,073","1,241","1,686"
E05002336 : Britwell,"6,802","1,866","1,290","1,108"
E05002337 : Central,"9,407","1,882","1,283","2,447"
E05002338 : Chalvey,"9,170","1,895","1,150","2,585"
E05002339 : Cippenham Green,"7,312","1,418","1,188","1,710"
E05002340 : Cippenham Meadows,"8,984","1,407","1,360","2,594"
E05002341 : Colnbrook with Poyle,"4,868",824,783,"1,196"
E05002342 : Farnham,"7,753","1,694","1,191","1,576"
E05002343 : Foxborough,"6,390","1,307",963,"1,706"
E05002344 : Haymill,"8,002","1,465","1,208","2,242"
E05002345 : Kedermister,"7,248","1,475","1,121","1,907"
E05002346 : Langley St Mary's,"6,474",966,874,"2,124"
E05002347 : Upton,"7,485","1,134",814,"2,749"
E05002348 : Wexham Lea,"8,337","2,028","1,207","1,930"
E05002455 : Bargate,"17,108","1,931","1,340","4,886"
E05002456 : Bassett,"12,630","1,789",979,"4,684"
E05002457 : Bevois,"14,113","2,302","1,372","3,536"
E05002458 : Bitterne,"10,721","3,507","1,999","1,249"
E05002459 : Bitterne Park,"11,422","2,146","1,597","3,099"
E05002460 : Coxford,"11,143","3,310","1,853","1,943"
E05002461 : Freemantle,"13,716","1,826","1,375","5,145"
E05002462 : Harefield,"11,321","3,116","1,875","1,874"
E05002463 : Millbrook,"12,093","3,163","1,853","2,693"
E05002464 : Peartree,"11,378","2,539","1,739","2,483"
E05002465 : Portswood,"13,176","1,669",852,"4,722"
E05002466 : Redbridge,"11,208","3,726","2,056","1,389"
E05002467 : Shirley,"11,454","2,238","1,325","3,970"
E05002468 : Sholing,"11,446","2,736","1,940","1,915"
E05002469 : Swaythling,"11,661","2,189","1,212","2,597"
E05002470 : Woolston,"10,944","2,804","1,920","1,960"
E05002289 : Aldermaston,"2,346",430,289,805
E05002290 : Basildon,"2,446",258,245,"1,259"
E05002291 : Birch Copse,"6,280","1,108","1,079","1,587"
E05002292 : Bucklebury,"5,064",682,537,"2,038"
E05002293 : Burghfield,"4,661",627,602,"1,743"
E05002294 : Calcot,"7,032","1,246","1,300","1,794"
E05002295 : Chieveley,"2,126",269,255,827
E05002296 : Clay Hill,"5,423","1,106",922,"1,415"
E05002297 : Cold Ash,"2,570",307,292,963
E05002298 : Compton,"2,459",377,309,932
E05002299 : Downlands,"2,471",364,300,910
E05002300 : Falkland,"5,048",721,622,"1,959"
E05002301 : Greenham,"4,419",835,695,"1,265"
E05002302 : Hungerford,"4,781",941,708,"1,352"
E05002303 : Kintbury,"4,080",608,474,"1,515"
E05002304 : Lambourn Valley,"4,586",980,619,"1,324"
E05002305 : Mortimer,"4,504",698,566,"1,688"
E05002306 : Northcroft,"4,412",854,590,"1,526"
E05002307 : Pangbourne,"2,385",313,261,"1,030"
E05002308 : Purley on Thames,"5,384",752,786,"1,880"
E05002309 : St Johns,"4,797",807,550,"1,743"
E05002310 : Speen,"4,588",935,601,"1,448"
E05002311 : Sulhamstead,"2,320",460,326,749
E05002312 : Thatcham Central,"4,820",930,835,"1,159"
E05002313 : Thatcham North,"4,468",747,732,"1,262"
E05002314 : Thatcham South and Crookham,"5,448",932,785,"1,592"
E05002315 : Thatcham West,"5,132","1,021",874,"1,121"
E05002316 : Theale,"2,271",480,355,632
E05002317 : Victoria,"4,202",818,526,"1,391"
E05002318 : Westwood,"2,208",459,343,497
E05002349 : Ascot and Cheapside,"4,482",566,390,"2,073"
E05002350 : Belmont,"6,444",888,586,"2,855"
E05002351 : Bisham and Cookham,"5,585",764,572,"2,493"
E05002352 : Boyn Hill,"6,240",870,705,"2,538"
E05002353 : Bray,"6,074",872,702,"2,404"
E05002354 : Castle Without,"5,831",584,480,"3,102"
E05002355 : Clewer East,"4,408",709,467,"1,713"
E05002356 : Clewer North,"6,263","1,272",874,"1,885"
E05002357 : Clewer South,"4,190",923,717,971
E05002358 : Cox Green,"6,060",882,928,"1,934"
E05002359 : Datchet,"3,928",565,444,"1,604"
E05002360 : Eton and Castle,"2,014",279,145,727
E05002361 : Eton Wick,"1,901",395,276,516
E05002362 : Furze Platt,"5,869","1,091",750,"1,940"
E05002363 : Horton and Wraysbury,"4,241",729,586,"1,392"
E05002364 : Hurley and Walthams,"4,929",915,606,"1,747"
E05002365 : Maidenhead Riverside,"6,343",898,678,"2,604"
E05002366 : Old Windsor,"4,124",730,558,"1,368"
E05002367 : Oldfield,"7,404","1,373",922,"2,656"
E05002368 : Park,"4,148",484,420,"1,867"
E05002369 : Pinkneys Green,"5,846","1,072",676,"2,061"
E05002370 : Sunningdale,"4,207",592,398,"1,855"
E05002371 : Sunninghill and South Ascot,"5,369",681,568,"2,195"
E05002372 : Arborfield,"2,136",270,306,777
E05002373 : Barkham,"2,841",267,294,"1,185"
E05002374 : Bulmershe and Whitegates,"6,830","1,501",944,"1,970"
E05002375 : Charvil,"2,339",253,300,"1,084"
E05002376 : Coronation,"4,544",669,593,"1,644"
E05002377 : Emmbrook,"6,541",768,668,"2,873"
E05002378 : Evendons,"6,810",594,708,"3,070"
E05002379 : Finchampstead North,"4,311",443,462,"1,860"
E05002380 : Finchampstead South,"4,412",636,483,"1,860"
E05002381 : Hawkedon,"7,383",661,951,"3,074"
E05002382 : Hillside,"6,806",592,736,"3,060"
E05002383 : Hurst,"2,227",268,246,"1,027"
E05002384 : Loddon,"7,067","1,024","1,147","2,149"
E05002385 : Maiden Erlegh,"7,024",802,802,"2,832"
E05002386 : Norreys,"6,964","1,188",782,"2,687"
"E05002387 : Remenham, Wargrave and Ruscombe","4,513",670,409,"2,048"
E05002388 : Shinfield North,"2,690",416,327,"1,037"
E05002389 : Shinfield South,"5,345",789,672,"2,070"
E05002390 : Sonning,"2,634",370,302,"1,045"
E05002391 : South Lake,"4,534",706,627,"1,245"
E05002392 : Swallowfield,"2,370",405,285,904
E05002393 : Twyford,"4,685",567,440,"2,193"
E05002394 : Wescott,"4,366",557,407,"2,064"
E05002395 : Winnersh,"7,349","1,067",934,"2,739"
E05002396 : Wokingham Without,"6,289",743,635,"2,687"
E05002594 : Aston Clinton,"7,864","1,306",970,"2,881"
E05002595 : Aylesbury Central,"3,201",542,366,"1,107"
E05002596 : Bedgrove,"7,121","1,144",941,"2,331"
E05002597 : Bierton,"1,427",273,170,468
E05002598 : Brill,"2,105",365,234,781
E05002599 : Buckingham North,"5,304",832,739,"1,697"
E05002600 : Buckingham South,"4,416",571,602,"1,556"
E05002601 : Cheddington,"2,418",307,318,968
E05002602 : Coldharbour,"7,313","1,002","1,133","2,258"
E05002603 : Edlesborough,"2,301",351,300,844
E05002604 : Elmhurst and Watermead,"7,154","1,558","1,113","1,805"
E05002605 : Gatehouse,"4,779","1,222",846,892
E05002606 : Great Brickhill,"2,521",440,295,922
E05002607 : Great Horwood,"2,442",345,285,957
E05002608 : Grendon Underwood,"2,592",392,402,743
E05002609 : Haddenham,"6,727","1,030",676,"2,721"
E05002610 : Long Crendon,"4,257",657,424,"1,802"
E05002611 : Luffield Abbey,"2,340",306,302,752
E05002612 : Mandeville and Elm Farm,"7,033","1,027",986,"2,070"
E05002613 : Marsh Gibbon,"2,606",402,339,951
E05002614 : Newton Longville,"2,043",409,263,647
E05002615 : Oakfield,"4,712",861,776,"1,195"
E05002616 : Pitstone,"2,832",440,387,982
E05002617 : Quainton,"2,018",296,213,785
E05002618 : Quarrendon,"4,155","1,056",805,691
E05002619 : Southcourt,"5,168","1,573",929,819
E05002620 : Steeple Claydon,"2,249",367,328,709
E05002621 : Stewkley,"2,391",395,263,908
E05002622 : Tingewick,"2,608",449,329,934
E05002623 : Waddesdon,"1,994",383,244,622
E05002624 : Walton Court and Hawkslade,"4,478",940,845,939
E05002625 : Weedon,"2,384",295,324,846
E05002626 : Wendover,"6,518",937,773,"2,598"
E05002627 : Wing,"2,242",422,323,652
E05002628 : Wingrave,"2,114",296,252,831
E05002629 : Winslow,"4,740",868,604,"1,627"
E05002630 : Amersham Common,"2,029",207,199,970
E05002631 : Amersham-on-the-Hill,"3,875",687,389,"1,569"
E05002632 : Amersham Town,"3,799",525,345,"1,750"
E05002633 : Asheridge Vale and Lowndes,"3,814",712,539,"1,293"
"E05002634 : Ashley Green, Latimer and Chenies","1,793",269,188,699
E05002635 : Austenwood,"1,738",142,109,937
"E05002636 : Ballinger, South Heath and Chartridge","1,777",214,188,759
E05002637 : Central,"3,487",518,378,"1,350"
E05002638 : Chalfont Common,"3,172",437,317,"1,359"
E05002639 : Chalfont St Giles,"5,572",677,512,"2,553"
E05002640 : Chesham Bois and Weedon Hill,"4,057",340,251,"2,339"
"E05002641 : Cholesbury, The Lee and Bellingdon","1,861",248,179,811
E05002642 : Gold Hill,"1,765",314,225,633
E05002643 : Great Missenden,"1,893",283,157,878
E05002644 : Hilltop and Townsend,"3,718",595,439,"1,347"
E05002645 : Holmer Green,"3,300",577,403,"1,050"
E05002646 : Little Chalfont,"3,812",545,396,"1,561"
E05002647 : Little Missenden,"1,948",234,178,927
E05002648 : Newtown,"1,904",306,242,666
E05002649 : Penn and Coleshill,"3,630",367,305,"1,820"
E05002650 : Prestwood and Heath End,"5,289",745,625,"1,958"
E05002651 : Ridgeway,"2,004",545,325,405
E05002652 : St Mary's and Waterside,"3,972",854,558,"1,211"
E05002653 : Seer Green,"1,802",200,145,879
E05002654 : Vale,"1,668",323,266,455
E05002655 : Beaconsfield North,"4,118",473,299,"2,148"
E05002656 : Beaconsfield South,"2,937",362,250,"1,393"
E05002657 : Beaconsfield West,"2,474",364,281,"1,033"
E05002658 : Burnham Beeches,"1,092",154,113,451
E05002659 : Burnham Church,"4,104",762,591,"1,246"
E05002660 : Burnham Lent Rise,"3,548",681,580,942
E05002661 : Denham North,"2,555",740,287,667
E05002662 : Denham South,"2,899",535,403,816
E05002663 : Dorney and Burnham South,"1,282",211,164,434
E05002664 : Farnham Royal,"4,367",602,507,"1,806"
E05002665 : Gerrards Cross East and Denham South West,"1,513",198,178,627
E05002666 : Gerrards Cross North,"2,579",273,175,"1,330"
E05002667 : Gerrards Cross South,"2,801",234,233,"1,414"
E05002668 : Hedgerley and Fulmer,"1,091",174,119,398
E05002669 : Iver Heath,"4,017",795,632,"1,055"
E05002670 : Iver Village and Richings Park,"4,348",838,600,"1,293"
E05002671 : Stoke Poges,"4,304",785,479,"1,532"
E05002672 : Taplow,"1,444",196,131,632
E05002673 : Wexham and Iver West,"2,728",577,373,760
E05002674 : Abbey,"8,308","1,266",826,"2,814"
E05002675 : Bledlow and Bradenham,"2,457",302,225,"1,049"
E05002676 : Booker and Cressex,"4,161","1,149",615,"1,002"
E05002677 : Bourne End-cum-Hedsor,"4,632",841,517,"1,728"
E05002678 : Bowerdean,"4,233",828,601,"1,148"
E05002679 : Chiltern Rise,"4,355",804,581,"1,367"
E05002680 : Disraeli,"4,661",831,677,"1,172"
E05002681 : Downley and Plomer Hill,"4,119",689,447,"1,413"
E05002682 : Flackwell Heath and Little Marlow,"6,015","1,017",763,"2,035"
E05002683 : Greater Hughenden,"6,797",929,733,"2,560"
E05002684 : Greater Marlow,"4,020",386,388,"1,832"
E05002685 : Hambleden Valley,"2,121",225,190,972
E05002686 : Hazlemere North,"3,935",651,533,"1,287"
E05002687 : Hazlemere South,"3,695",539,513,"1,242"
E05002688 : Icknield,"2,576",349,279,"1,063"
"E05002689 : Lacey Green, Speen and the Hampdens","2,212",226,218,"1,052"
E05002690 : Marlow North and West,"7,138","1,134",747,"2,984"
E05002691 : Marlow South East,"4,458",681,500,"1,768"
E05002692 : Micklefield,"4,391","1,142",736,942
E05002693 : Oakridge and Castlefield,"7,012","1,878","1,082","1,433"
E05002694 : Ryemead,"5,662",888,724,"2,015"
E05002695 : Sands,"4,866",899,738,"1,301"
E05002696 : Stokenchurch and Radnage,"4,515",884,668,"1,371"
E05002697 : Terriers and Amersham Hill,"7,408",924,793,"2,939"
E05002698 : Totteridge,"5,101","1,150",701,"1,388"
E05002699 : The Risboroughs,"6,730","1,461",791,"2,248"
E05002700 : The Wooburns,"4,234",723,603,"1,370"
E05002701 : Tylers Green and Loudwater,"6,975",984,934,"2,404"
E05003920 : Devonshire,"10,929","2,409","1,461","2,242"
E05003921 : Hampden Park,"8,158","2,374","1,429","1,227"
E05003922 : Langney,"8,485","2,361","1,610","1,163"
E05003923 : Meads,"9,744","1,895",855,"3,369"
E05003924 : Old Town,"8,785","1,448","1,105","3,063"
E05003925 : Ratton,"8,381","2,055","1,073","2,304"
E05003926 : St Anthony's,"9,033","2,517","1,403","1,526"
E05003927 : Sovereign,"9,846","2,058","1,516","2,416"
E05003928 : Upperton,"9,330","2,098",956,"2,884"
E05003929 : Ashdown,"5,070","1,111",809,"1,126"
E05003930 : Baird,"3,804","1,307",634,550
E05003931 : Braybrooke,"4,347",927,648,"1,144"
E05003932 : Castle,"5,824","1,240",941,"1,413"
E05003933 : Central St Leonards,"6,223","1,501",894,"1,449"
E05003934 : Conquest,"4,099",897,621,985
E05003935 : Gensing,"5,413","1,237",805,"1,323"
E05003936 : Hollington,"4,589","1,520",832,542
E05003937 : Maze Hill,"4,548","1,167",636,"1,121"
E05003938 : Old Hastings,"4,813","1,044",674,"1,360"
E05003939 : Ore,"4,169","1,259",738,703
E05003940 : St Helens,"4,211","1,108",580,982
E05003941 : Silverhill,"3,900",913,647,822
E05003942 : Tressell,"3,944","1,068",731,655
E05003943 : West St Leonards,"4,243",999,680,785
E05003944 : Wishing Tree,"4,291","1,351",730,644
E05003945 : Barcombe and Hamsey,"1,660",231,175,737
E05003946 : Chailey and Wivelsfield,"4,038",582,547,"1,423"
E05003947 : Ditchling and Westmeston,"2,026",314,192,932
E05003948 : East Saltdean and Telscombe Cliffs,"6,155","1,397",931,"1,435"
E05003949 : Kingston,"1,698",211,165,813
E05003950 : Lewes Bridge,"3,979",690,456,"1,541"
E05003951 : Lewes Castle,"3,853",706,429,"1,548"
E05003952 : Lewes Priory,"6,061",870,570,"2,902"
E05003953 : Newhaven Denton and Meeching,"6,652","1,717","1,202","1,279"
E05003954 : Newhaven Valley,"3,199",800,625,552
E05003955 : Newick,"2,015",308,218,752
E05003956 : Ouse Valley and Ringmer,"5,336","1,105",741,"1,637"
E05003957 : Peacehaven East,"4,217","1,382",631,692
E05003958 : Peacehaven North,"3,808",892,670,715
E05003959 : Peacehaven West,"3,735","1,178",567,613
"E05003960 : Plumpton, Streat, East Chiltington and St John (Without)","1,901",227,250,735
E05003961 : Seaford Central,"4,226",918,568,"1,177"
E05003962 : Seaford East,"4,001","1,001",567,971
E05003963 : Seaford North,"4,226","1,028",637,971
E05003964 : Seaford South,"3,647",723,463,"1,149"
E05003965 : Seaford West,"4,101",996,522,"1,116"
E05003966 : Battle Town,"4,308",882,585,"1,310"
E05003967 : Brede Valley,"4,042",902,550,"1,101"
E05003968 : Central,"4,774","1,216",726,"1,035"
E05003969 : Collington,"3,971",989,441,"1,150"
E05003970 : Crowhurst,"2,212",460,274,720
E05003971 : Darwell,"4,280",778,543,"1,393"
E05003972 : Eastern Rother,"4,108","1,171",572,901
E05003973 : Ewhurst and Sedlescombe,"2,172",412,262,646
E05003974 : Kewhurst,"4,133","1,071",532,"1,028"
E05003975 : Marsham,"3,516",882,427,978
E05003976 : Old Town,"3,267",905,510,692
E05003977 : Rother Levels,"3,954",950,559,"1,040"
E05003978 : Rye,"3,602","1,009",577,784
E05003979 : Sackville,"4,060","1,235",522,904
E05003980 : St Marks,"4,014",974,484,"1,136"
E05003981 : St Michaels,"4,175","1,262",628,782
E05003982 : St Stephens,"4,031","1,005",639,868
E05003983 : Salehurst,"3,672",700,491,"1,106"
E05003984 : Sidley,"4,396","1,485",757,611
E05003985 : Ticehurst and Etchingham,"3,672",570,463,"1,253"
E05003986 : Alfriston,"2,080",528,204,683
E05003987 : Buxted and Maresfield,"4,548",688,589,"1,631"
E05003988 : Chiddingly and East Hoathly,"2,633",400,345,932
E05003989 : Cross in Hand/Five Ashes,"2,065",343,308,687
E05003990 : Crowborough East,"4,311",782,702,"1,016"
E05003991 : Crowborough Jarvis Brook,"2,111",404,386,487
E05003992 : Crowborough North,"4,645",692,743,"1,409"
E05003993 : Crowborough St. Johns,"2,021",307,214,759
E05003994 : Crowborough West,"4,090",693,531,"1,292"
E05003995 : Danehill/Fletching/Nutley,"4,367",675,446,"1,703"
E05003996 : East Dean,"1,978",297,199,833
E05003997 : Forest Row,"4,209",551,410,"1,733"
E05003998 : Framfield,"2,261",324,289,756
E05003999 : Frant/Withyham,"4,161",540,438,"1,739"
E05004000 : Hailsham Central and North,"4,717","1,179",713,"1,020"
E05004001 : Hailsham East,"2,202",784,396,290
E05004002 : Hailsham South and West,"6,856","1,946","1,126","1,254"
E05004003 : Hartfield,"2,202",309,258,835
E05004004 : Heathfield East,"2,081",330,267,698
E05004005 : Heathfield North and Central,"6,639","1,287","1,003","1,642"
E05004006 : Hellingly,"4,878","1,016",687,"1,217"
E05004007 : Herstmonceux,"2,359",501,320,655
E05004008 : Horam,"2,189",485,337,581
E05004009 : Mayfield,"2,177",295,260,870
E05004010 : Ninfield and Hooe with Wartling,"2,039",415,279,581
E05004011 : Pevensey and Westham,"7,816","1,872","1,147","1,842"
E05004012 : Polegate North,"4,435","1,374",641,840
E05004013 : Polegate South,"2,108",659,283,415
E05004014 : Rotherfield,"2,015",297,234,791
E05004015 : Uckfield Central,"2,515",473,369,721
E05004016 : Uckfield New Town,"2,250",456,360,548
E05004017 : Uckfield North,"4,406",901,771,957
E05004018 : Uckfield Ridgewood,"2,530",312,355,757
E05004019 : Wadhurst,"4,169",578,504,"1,623"
E05004020 : Willingdon,"6,380","1,654",823,"1,563"
E05004430 : Basing,"6,898",983,793,"2,617"
E05004431 : Baughurst and Tadley North,"4,332",796,650,"1,199"
E05004437 : Bramley and Sherfield,"4,571",599,606,"1,834"
E05004432 : Brighton Hill North,"4,146",611,828,932
E05004433 : Brighton Hill South,"4,276",898,825,854
E05004434 : Brookvale and Kings Furlong,"5,395",872,727,"1,742"
E05004435 : Buckskin,"5,167","1,196",955,"1,076"
"E05004436 : Burghclere, Highclere and St Mary Bourne","4,552",762,586,"1,658"
E05004438 : Chineham,"7,240",619,962,"2,863"
E05004439 : East Woodhay,"2,301",306,227,978
E05004440 : Eastrop,"4,677",633,561,"1,752"
E05004441 : Grove,"4,872",852,728,"1,357"
E05004442 : Hatch Warren and Beggarwood,"6,797",521,966,"2,526"
E05004443 : Kempshott,"5,543",753,778,"1,824"
E05004444 : Kingsclere,"4,025",728,497,"1,389"
E05004445 : Norden,"7,071","1,687","1,217","1,482"
E05004446 : Oakley and North Waltham,"5,539",860,687,"1,938"
"E05004447 : Overton, Laverstoke and Steventon","4,056",831,445,"1,398"
E05004448 : Pamber and Silchester,"3,720",580,449,"1,377"
E05004449 : Popley East,"4,419","1,067",883,755
E05004450 : Popley West,"4,154",800,676,"1,063"
E05004451 : Rooksdown,"2,692",253,380,"1,031"
