KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05008218 : Falmouth Arwenack,"1,940","1,022",559,130,736
E05008219 : Falmouth Boslowick,"2,055","1,609",830,190,233
E05008220 : Falmouth Gyllyngvase,"1,670",988,735,97,532
E05008221 : Falmouth Penwerris,"1,906",969,560,550,339
E05008222 : Falmouth Trescobeas,"1,938","1,268",716,426,195
E05008223 : Feock and Kea,"1,993","1,693","1,169",95,152
E05008224 : Flexbury and Poughill,"1,778","1,378",903,124,215
E05008225 : Fowey,"2,066","1,544","1,015",152,320
E05008226 : Gulval and Heamoor,"1,890","1,200",737,357,301
E05008227 : Gunnislake,"2,030","1,505",918,217,249
E05008228 : Gwinear-Gwithian and St Erth,"1,923","1,399",813,185,274
E05008229 : Hayle North,"2,042","1,422",803,238,311
E05008230 : Hayle South,"1,773","1,151",663,371,216
E05008231 : Helston Central,"2,025","1,152",637,397,434
E05008232 : Helston North,"2,310","1,656",758,101,514
E05008233 : Illogan,"1,796","1,345",790,262,158
E05008234 : Kelly Bray,"1,726","1,345",786,139,185
"E05008235 : Ladock, St Clement and St Erme","1,818","1,301",708,121,349
E05008236 : Lanivet,"1,631","1,251",837,138,200
E05008237 : Launceston Central,"1,535",863,420,289,365
E05008238 : Launceston North,"1,605","1,147",694,184,243
E05008239 : Launceston South,"1,867","1,086",539,218,504
E05008240 : Lelant and Carbis Bay,"1,741","1,374",883,54,282
E05008241 : Liskeard Central,"2,124","1,050",482,457,557
E05008242 : Liskeard North,840,605,353,101,124
E05008243 : Liskeard South and Dobwalls,"2,006","1,391",781,354,221
E05008244 : Looe East,"1,667","1,156",742,182,282
E05008245 : Looe West and Lansallos,"1,690","1,180",734,217,252
E05008246 : Lostwithiel,"2,100","1,437",935,256,348
E05008247 : Ludgvan,"1,770","1,405",903,55,271
E05008248 : Mabe,"2,015","1,603","1,036",140,217
E05008249 : Marazion,"2,007","1,407",892,230,299
E05008250 : Menheniot,"1,534","1,075",642,177,249
E05008251 : Mevagissey,"1,959","1,430",978,83,395
E05008252 : Mount Charles,"2,022","1,213",687,302,455
E05008253 : Mount Hawke and Portreath,"1,967","1,487",819,71,371
E05008254 : Mullion,"1,944","1,438",947,222,241
E05008255 : Newlyn and Goonhavern,"2,049","1,557",885,164,281
E05008256 : Newlyn and Mousehole,"2,113","1,475",993,237,341
E05008257 : Newquay Central,"1,519",634,272,220,638
E05008258 : Newquay Pentire,"1,856","1,179",599,177,469
E05008259 : Newquay Treloggan,"1,925","1,245",580,229,396
E05008260 : Newquay Tretherras,"1,512","1,172",669,62,238
E05008261 : Newquay Treviglas,"1,614","1,032",537,229,326
E05008262 : Padstow,"1,965","1,333",893,340,242
E05008263 : Pelynt,"1,978","1,485",971,161,293
E05008264 : Penryn East and Mylor,"2,369","1,543",969,301,465
E05008265 : Penryn West,"1,991","1,184",559,331,433
E05008266 : Penwithick,"1,758","1,277",500,136,292
E05008267 : Penzance Central,"2,293","1,015",630,664,562
E05008268 : Penzance East,"2,172","1,173",629,421,531
E05008269 : Penzance Promenade,"1,609","1,061",742,262,245
E05008270 : Perranporth,"1,918","1,392",837,145,320
E05008271 : Porthleven and Helston South,"1,797","1,227",707,279,260
E05008272 : Poundstock,"1,580","1,218",822,112,198
E05008273 : Probus,"1,688","1,211",687,106,330
E05008274 : Rame,"2,155","1,525",960,283,283
E05008275 : Redruth Central,"1,820","1,270",614,171,355
E05008276 : Redruth North,"1,823",941,474,552,284
E05008277 : Redruth South,"1,832","1,222",623,104,460
E05008278 : Roche,"1,601","1,148",579,151,255
E05008279 : Roseland,"1,594","1,107",816,233,172
E05008280 : St Agnes,"2,021","1,472",934,181,295
E05008281 : St Austell Bay,"1,964","1,539","1,015",120,247
E05008282 : St Austell Bethel,"1,955","1,471",842,223,223
E05008283 : St Austell Gover,"1,927","1,136",661,302,450
E05008284 : St Austell Poltair,"1,782","1,205",658,337,195
E05008285 : St Blaise,"1,935","1,181",624,425,286
E05008286 : St Buryan,"1,972","1,272",796,273,342
E05008287 : St Cleer,"1,954","1,534",886,150,224
E05008288 : St Columb,"2,057","1,371",792,244,377
E05008289 : St Day and Lanner,"1,906","1,434",835,194,253
E05008290 : St Dennis,"1,848","1,198",590,283,311
E05008291 : St Endellion,"1,478",984,726,226,202
E05008292 : St Enoder,"1,816","1,360",681,96,321
E05008293 : St Germans,"1,821","1,359",739,143,287
E05008294 : St Issey,"1,678","1,159",725,134,337
E05008295 : St Ive,"1,836","1,441",843,143,204
E05008296 : St Ives North,"1,890","1,164",701,365,291
E05008297 : St Ives South,"1,709","1,166",744,210,296
E05008298 : St Just in Penwith,"2,201","1,582",982,222,347
E05008299 : St Keverne and Meneage,"1,951","1,413",995,190,282
E05008300 : St Mewan,"1,611","1,320",856,60,203
E05008301 : St Stephen,"1,905","1,357",728,207,303
E05008302 : St Teath,"1,715","1,305",834,161,210
E05008303 : Saltash Burraton,"1,516","1,278",576,37,176
E05008304 : Saltash Essa,"1,587","1,166",606,262,139
E05008305 : Saltash Pill,"1,867","1,346",742,237,250
E05008306 : Saltash St Stephens,"2,104","1,413",605,338,279
E05008307 : Stithians,"2,135","1,674",968,146,277
E05008308 : Stokeclimsland,"1,519","1,202",724,77,201
E05008309 : Threemilestone and Gloweth,"1,731","1,159",559,171,370
E05008310 : Tintagel,"1,782","1,369",931,93,279
E05008311 : Torpoint East,"1,727","1,038",569,413,250
E05008312 : Torpoint West,"1,673","1,271",579,85,304
E05008313 : Troon and Beacon,"2,190","1,398",731,487,257
E05008314 : Truro Boscawen,"2,310","1,430",834,241,564
E05008315 : Truro Moresk,"2,175","1,445",801,387,280
E05008316 : Truro Tregolls,"2,284","1,251",691,553,410
E05008317 : Truro Trehaverne,"1,803","1,198",736,374,194
E05008318 : Tywardreath,"2,070","1,645",922,76,323
E05008319 : Wadebridge East,"1,781","1,300",793,166,270
E05008320 : Wadebridge West,"1,790","1,139",722,310,293
E05008321 : Wendron,"1,970","1,617",892,48,255
E05008323 : St. Agnes,68,18,11,5,34
E05008324 : St. Martin's,54,19,14,5,28
E05008325 : St. Mary's,772,373,286,166,196
E05008326 : Tresco,95,2,2,3,36
E05008601 : Backwell,"2,342","1,999","1,087",128,188
E05008602 : Banwell and Winscombe,"4,632","3,578","1,882",306,669
E05002009 : Blagdon and Churchill,"1,535","1,191",636,95,215
E05002010 : Clevedon Central,"1,458",903,428,267,251
E05002011 : Clevedon East,"1,456","1,065",527,168,198
E05002012 : Clevedon North,"1,263",839,491,84,325
E05002013 : Clevedon South,"1,388","1,101",472,59,210
E05002014 : Clevedon Walton,"1,108",999,631,11,84
E05002015 : Clevedon West,"1,355","1,123",574,65,154
E05002016 : Clevedon Yeo,"1,331","1,033",416,74,210
E05002017 : Congresbury,"1,422","1,109",615,148,145
E05002018 : Easton-in-Gordano,"1,136",995,629,16,103
E05002019 : Gordano,"1,745","1,484",680,91,130
E05008603 : Hutton and Locking,"2,826","2,394","1,361",125,277
E05008604 : Kewstoke,"1,334","1,074",477,46,197
E05002022 : Nailsea East,"2,651","2,341","1,233",90,197
E05002023 : Nailsea North and West,"4,127","3,281","1,887",399,396
E05002024 : Pill,"1,535","1,080",504,292,138
E05002025 : Portishead Central,"1,991","1,302",583,124,494
E05002026 : Portishead Coast,"1,239","1,059",625,64,105
E05002027 : Portishead East,"2,442","1,867",718,215,293
E05002028 : Portishead Redcliffe Bay,"1,411","1,263",680,56,80
E05002029 : Portishead South and North Weston,"1,337","1,019",511,190,111
E05002030 : Portishead West,"1,327","1,064",524,155,93
E05002031 : Weston-super-Mare Central,"3,151","1,296",714,275,"1,536"
E05008605 : Weston-super-Mare Clarence and Uphill,"4,142","2,914","1,703",236,941
E05008606 : Weston-super-Mare East,"5,810","3,661","1,384",515,"1,538"
E05002034 : Weston-super-Mare Milton and Old Worle,"4,131","3,372","1,953",302,396
E05008607 : Weston-super-Mare North Worle,"3,905","3,037","1,175",194,592
E05002036 : Weston-super-Mare South,"4,507","1,736",683,"1,996",638
E05002037 : Weston-super-Mare South Worle,"4,342","3,084","1,413",437,747
E05002038 : Weston-super-Mare West,"4,453","2,580","1,444",179,"1,647"
E05008608 : Winford,"1,203","1,009",554,51,131
E05002040 : Wraxall and Long Ashton,"3,197","2,566","1,289",263,293
E05008609 : Wrington,"1,234",958,552,73,169
E05002042 : Yatton,"3,761","2,989","1,439",314,379
E05002078 : Budshead,"5,520","3,184","1,491","1,611",631
E05002079 : Compton,"5,221","3,504","1,607",295,"1,358"
E05002080 : Devonport,"6,655","2,526",942,"2,386","1,591"
E05002081 : Drake,"3,695",952,448,456,"2,242"
E05002082 : Efford and Lipson,"5,807","3,050","1,135","1,372","1,241"
E05002083 : Eggbuckland,"5,642","4,074","2,032",785,680
E05002084 : Ham,"5,523","3,167","1,352","1,790",469
E05002085 : Honicknowle,"5,884","3,049","1,436","2,182",516
E05002086 : Moor View,"4,996","3,387","1,704","1,119",413
E05002087 : Peverell,"5,640","4,313","1,940",200,"1,048"
E05002088 : Plympton Chaddlewood,"3,308","2,503",887,140,600
E05002089 : Plympton Erle,"3,700","2,848","1,360",477,317
E05002090 : Plympton St Mary,"5,243","4,497","2,344",208,458
E05002091 : Plymstock Dunstone,"5,261","4,251","2,422",261,674
E05002092 : Plymstock Radford,"5,302","4,197","2,306",258,745
E05002093 : St Budeaux,"5,596","2,989","1,255","1,893",617
E05002094 : St Peter and the Waterfront,"8,545","1,951",993,"3,020","3,388"
E05002095 : Southway,"5,455","3,431","1,530","1,263",655
E05002096 : Stoke,"6,177","3,401","1,421",658,"2,004"
E05002097 : Sutton and Mount Gould,"6,137","2,883","1,158",721,"2,379"
E05002131 : Alderney,"4,619","2,903","1,335","1,021",604
E05002132 : Branksome East,"2,671","1,667",770,407,571
E05002133 : Branksome West,"3,173","2,323",922,205,580
E05002134 : Broadstone,"4,197","3,880","2,278",78,207
E05002135 : Canford Cliffs,"4,413","3,358","2,472",92,889
E05002136 : Canford Heath East,"2,898","2,126",898,276,437
E05002137 : Canford Heath West,"2,809","1,983",844,459,327
E05002138 : Creekmoor,"3,986","3,033","1,355",496,410
E05002139 : Hamworthy East,"2,686","1,679",814,495,432
E05002140 : Hamworthy West,"2,861","1,604",759,647,563
E05002141 : Merley and Bearwood,"4,136","3,498","1,799",218,352
E05002142 : Newtown,"5,300","3,486","1,516",800,867
E05002143 : Oakdale,"4,708","3,712","1,842",437,480
E05002144 : Parkstone,"5,171","3,448","1,953",476,"1,175"
E05002145 : Penn Hill,"4,877","3,664","1,839",170,986
E05002146 : Poole Town,"5,025","2,338","1,323","1,047","1,395"
E05002043 : Almondsbury,"1,580","1,264",609,141,143
E05002044 : Bitton,"1,430","1,098",554,186,127
E05002045 : Boyd Valley,"3,025","2,345","1,208",287,329
E05002046 : Bradley Stoke Central and Stoke Lodge,"3,381","2,342",839,150,863
E05002047 : Bradley Stoke North,"1,668","1,142",422,11,491
E05002048 : Bradley Stoke South,"3,721","2,463",558,211,"1,018"
E05002049 : Charfield,"1,513","1,214",538,110,159
E05002050 : Chipping Sodbury,"2,915","2,326","1,245",242,293
E05002051 : Cotswold Edge,"1,377",924,489,102,260
E05002052 : Dodington,"2,953","2,361",814,79,497
E05002053 : Downend,"4,527","3,851","2,047",238,390
E05002054 : Emersons Green,"4,881","3,645","1,362",311,880
E05002055 : Filton,"4,514","2,912","1,456",611,909
E05002056 : Frampton Cotterell,"2,900","2,376","1,240",274,197
E05002057 : Frenchay and Stoke Park,"2,173","1,296",596,173,631
E05002058 : Hanham,"4,308","3,507","1,884",360,381
E05002059 : Kings Chase,"4,900","3,056","1,438",990,751
E05002060 : Ladden Brook,"1,428","1,154",566,132,108
E05002061 : Longwell Green,"2,867","2,543","1,368",49,242
E05002062 : Oldland Common,"3,100","2,506","1,035",266,296
E05002063 : Parkwall,"3,485","2,407",887,632,402
E05002064 : Patchway,"3,852","2,534",979,793,452
E05002065 : Pilning and Severn Beach,"1,507","1,203",517,77,208
E05002066 : Rodway,"4,419","3,409","1,715",566,373
E05002067 : Severn,"1,434","1,180",672,43,187
E05002068 : Siston,"1,956","1,448",508,246,211
E05002069 : Staple Hill,"3,413","2,069",992,679,609
E05002070 : Stoke Gifford,"4,914","3,750","1,449",474,617
E05002071 : Thornbury North,"3,255","2,575","1,480",293,335
E05002072 : Thornbury South and Alveston,"3,132","2,490","1,367",363,231
E05002073 : Westerleigh,"1,551","1,333",780,78,106
E05002074 : Winterbourne,"2,817","2,295","1,275",281,206
E05002075 : Woodstock,"4,752","3,345","1,442",599,711
E05002076 : Yate Central,"3,361","2,665","1,321",322,321
E05002077 : Yate North,"4,529","3,558","1,398",264,666
E05002147 : Abbey Meads,"8,067","5,492",846,449,"1,853"
E05002148 : Blunsdon,"1,323","1,010",522,150,134
E05002149 : Central,"4,663","2,213",761,695,"1,679"
E05002150 : Covingham and Nythe,"3,814","3,229","1,568",173,329
E05002151 : Dorcan,"3,615","2,475","1,018",804,298
E05002152 : Eastcott,"5,043","2,736","1,004",207,"1,989"
E05002153 : Freshbrook and Grange Park,"4,076","2,795",808,673,521
E05002154 : Gorse Hill and Pinehurst,"4,149","2,217",820,"1,167",703
E05002155 : Haydon Wick,"4,217","3,482","1,407",232,469
E05002156 : Highworth,"3,607","2,622","1,332",535,386
E05002157 : Moredon,"4,121","2,609",926,"1,023",420
E05002158 : Old Town and Lawn,"5,431","3,851","1,895",382,935
E05002159 : Parks,"4,286","1,834",685,"2,008",313
E05002160 : Penhill,"2,745",974,445,"1,591",127
E05002161 : Ridgeway,"1,213",949,440,83,154
E05002162 : St Margaret,"4,321","3,492","1,592",310,468
E05002163 : St Philip,"3,911","2,801","1,354",699,369
E05002164 : Shaw and Nine Elms,"3,782","2,834",798,221,670
E05002165 : Toothill and Westlea,"3,357","2,086",817,703,522
E05002166 : Walcot,"3,273","1,637",818,"1,233",247
E05002167 : Western,"4,943","3,297","1,173",388,"1,212"
E05002168 : Wroughton and Chiseldon,"4,403","3,267","1,720",656,371
E05002098 : Berry Head-with-Furzeham,"4,500","3,199","2,056",264,957
E05002099 : Blatchcombe,"4,349","2,749","1,349",844,621
E05002100 : Churston-with-Galmpton,"3,027","2,624","1,779",100,265
E05002101 : Clifton-with-Maidenway,"3,038","2,446","1,242",66,494
E05002102 : Cockington-with-Chelston,"4,501","3,367","1,748",224,865
E05002103 : Ellacombe,"3,227","1,915",792,157,"1,125"
E05002104 : Goodrington-with-Roselands,"3,081","2,332","1,268",200,453
E05002105 : Preston,"4,430","3,510","2,016",131,718
E05002106 : Roundham-with-Hyde,"3,839","1,816","1,070",306,"1,669"
E05002107 : St Marychurch,"5,097","3,396","1,865",282,"1,310"
E05002108 : St Mary's-with-Summercombe,"3,236","2,377","1,348",282,508
E05002109 : Shiphay-with-the-Willows,"3,944","2,698","1,173",375,783
E05002110 : Tormohun,"5,594","2,440","1,136",700,"2,280"
E05002111 : Watcombe,"3,038","1,958",977,692,340
E05002112 : Wellswood,"4,109","2,597","1,684",139,"1,308"
E05008327 : Aldbourne and Ramsbury,"2,175","1,472",812,340,255
E05008328 : Alderbury and Whiteparish,"1,768","1,369",751,141,217
E05008329 : Amesbury East,"2,266","1,334",400,371,487
E05008330 : Amesbury West,"1,998","1,218",656,490,236
E05008331 : Bourne and Woodford Valley,"1,791","1,321",783,127,287
E05008332 : Box and Colerne,"1,980","1,413",763,164,373
E05008333 : Bradford-on-Avon North,"2,049","1,647",968,211,164
E05008334 : Bradford-on-Avon South,"2,237","1,517",909,379,307
E05008335 : Brinkworth,"1,771","1,430",790,108,194
"E05008336 : Bromham, Rowde and Potterne","2,045","1,388",744,410,201
"E05008337 : Bulford, Allington and Figheldean","1,990",872,419,281,807
E05008338 : Burbage and the Bedwyns,"2,028","1,373",748,300,268
E05008339 : By Brook,"1,799","1,357",726,146,244
E05008340 : Calne Central,"1,935","1,344",645,323,231
E05008341 : Calne Chilvester and Abberd,"2,022","1,271",480,463,223
E05008342 : Calne North,"1,761","1,148",315,285,268
E05008343 : Calne Rural,"1,687","1,245",665,136,255
E05008344 : Calne South and Cherhill,"2,014","1,651",737,109,223
E05008345 : Chippenham Cepen Park and Derriads,"1,673","1,361",498,73,230
E05008346 : Chippenham Cepen Park and Redlands,"1,995","1,353",494,343,257
E05008347 : Chippenham Hardenhuish,"1,819","1,284",589,328,188
E05008348 : Chippenham Hardens and England,"1,827","1,073",446,388,322
E05008349 : Chippenham Lowden and Rowden,"2,072","1,303",577,515,225
E05008350 : Chippenham Monkton,"1,699","1,280",752,175,194
E05008351 : Chippenham Pewsham,"1,910","1,473",443,60,351
E05008352 : Chippenham Queens and Sheldon,"1,855","1,262",612,424,136
E05008353 : Corsham Pickwick,"2,279","1,335",560,491,376
E05008354 : Corsham Town,"2,016","1,504",827,287,195
E05008355 : Corsham Without and Box Hill,"2,203","1,432",686,304,410
E05008356 : Cricklade and Latton,"2,068","1,569",772,242,220
E05008357 : Devizes and Roundway South,"1,876","1,296",735,362,189
E05008358 : Devizes East,"1,799","1,228",608,337,209
E05008359 : Devizes North,"2,104",975,567,774,285
E05008360 : Downton and Ebble Valley,"2,090","1,433",843,207,338
E05008361 : Durrington and Larkhill,"2,509","1,367",607,342,770
E05008362 : Ethandune,"1,897","1,498",813,200,170
E05008363 : Fovant and Chalke Valley,"1,807","1,159",697,205,369
E05008364 : Hilperton,"1,929","1,519",660,220,167
E05008365 : Holt and Staverton,"1,865","1,366",592,229,247
E05008366 : Kington,"1,829","1,401",696,143,240
"E05008367 : Laverstock, Ford and Old Sarum","1,669","1,264",693,220,139
E05008368 : Ludgershall and Perham Down,"2,141","1,104",417,523,458
E05008369 : Lyneham,"1,935","1,031",512,161,705
E05008370 : Malmesbury,"2,280","1,520",705,349,367
E05008371 : Marlborough East,"1,746",973,534,537,208
E05008372 : Marlborough West,"1,669","1,082",671,196,288
E05008373 : Melksham Central,"2,308","1,475",602,439,364
E05008374 : Melksham North,"1,819","1,279",662,318,206
E05008375 : Melksham South,"2,157","1,631",778,245,240
E05008376 : Melksham Without North,"1,737","1,393",806,132,181
E05008377 : Melksham Without South,"1,994","1,505",566,270,188
E05008378 : Mere,"1,940","1,264",806,341,262
E05008379 : Minety,"1,914","1,523",815,143,188
E05008380 : Nadder and East Knoyle,"1,878","1,223",768,229,351
E05008381 : Pewsey,"2,105","1,357",758,427,239
E05008382 : Pewsey Vale,"1,882","1,226",687,245,354
E05008383 : Purton,"1,701","1,311",682,209,152
E05008384 : Redlynch and Landford,"1,855","1,522",921,110,192
E05008385 : Roundway,"1,802","1,099",371,335,292
E05008386 : Salisbury Bemerton,"2,509","1,120",465,"1,110",222
E05008387 : Salisbury Fisherton and Bemerton Village,"1,818","1,296",598,185,300
E05008388 : Salisbury Harnham,"2,117","1,434",746,387,231
E05008389 : Salisbury St Edmund and Milford,"2,395","1,220",664,386,736
