QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05003743 : Broadwindsor,450,121,123,123,83
E05003744 : Burton Bradstock,469,125,141,122,81
E05003745 : Cam Vale,498,152,141,144,61
E05003746 : Charminster and Cerne Valley,"1,272",408,408,263,193
E05003747 : Charmouth,404,99,126,100,79
E05003748 : Chesil Bank,586,163,180,149,94
E05003749 : Chickerell,"1,521",257,469,447,348
E05003750 : Chideock and Symondsbury,459,111,121,139,88
E05003751 : Dorchester East,"1,458",358,480,326,294
E05003752 : Dorchester North,"1,721",428,564,317,412
E05003753 : Dorchester South,"1,064",320,365,211,168
E05003754 : Dorchester West,"1,387",331,377,338,341
E05003755 : Frome Valley,657,208,191,159,99
E05003756 : Halstock,483,146,138,123,76
E05003757 : Loders,470,134,142,114,80
E05003758 : Lyme Regis,959,231,299,217,212
E05003759 : Maiden Newton,632,145,190,171,126
E05003760 : Marshwood Vale,450,134,115,129,72
E05003761 : Netherbury,584,116,146,197,125
E05003762 : Owermoigne,"1,044",240,330,274,200
E05003763 : Piddle Valley,573,167,167,150,89
E05003764 : Puddletown,686,208,201,174,103
E05003765 : Queen Thorne,540,150,161,139,90
E05003766 : Sherborne East,"1,177",325,293,250,309
E05003767 : Sherborne West,"1,215",318,316,293,288
E05003768 : Winterborne St Martin,600,150,181,143,126
E05003769 : Yetminster,392,129,110,87,66
E05003770 : Littlemoor,"1,257",129,313,341,474
E05003771 : Melcombe Regis,"2,248",310,595,529,814
E05003772 : Preston,"1,128",371,408,223,126
E05003773 : Radipole,"1,089",259,366,256,208
E05003774 : Tophill East,974,152,307,292,223
E05003775 : Tophill West,"1,603",186,515,490,412
E05003776 : Underhill,"1,189",161,308,324,396
E05003777 : Upwey and Broadwey,"1,147",234,359,294,260
E05003778 : Westham East,"1,274",191,384,351,348
E05003779 : Westham North,"1,455",209,410,383,453
E05003780 : Westham West,"1,025",158,284,282,301
E05003781 : Wey Valley,902,259,323,193,127
E05003782 : Weymouth East,"1,142",212,345,247,338
E05003783 : Weymouth West,"1,540",330,454,365,391
E05003784 : Wyke Regis,"1,633",298,542,435,358
E05004288 : All Saints,"2,283",763,781,308,431
E05004289 : Battledown,"1,709",672,616,221,200
E05004290 : Benhall and The Reddings,"1,475",438,571,254,212
E05004291 : Charlton Kings,"1,568",608,540,228,192
E05004292 : Charlton Park,"1,340",609,480,141,110
E05004293 : College,"2,106",830,763,256,257
E05004294 : Hesters Way,"2,421",362,736,502,821
E05004295 : Lansdown,"2,387",927,881,211,368
E05004296 : Leckhampton,"1,540",683,514,202,141
E05004297 : Oakley,"1,789",252,443,418,676
E05004298 : Park,"2,093","1,004",717,201,171
E05004299 : Pittville,"1,959",699,742,245,273
E05004300 : Prestbury,"1,398",509,529,189,171
E05004301 : St Mark's,"2,031",364,578,406,683
E05004302 : St Paul's,"2,126",328,865,336,597
E05004303 : St Peter's,"2,490",524,805,493,668
E05004304 : Springbank,"2,174",299,642,510,723
E05004305 : Swindon Village,"1,933",336,614,425,558
E05004306 : Up Hatherley,"1,577",432,626,291,228
E05004307 : Warden Hill,"1,662",469,636,303,254
E05004308 : Ampney-Coln,546,197,162,108,79
E05004309 : Avening,609,215,171,127,96
E05004310 : Beacon-Stow,925,225,302,234,164
E05004311 : Blockley,590,199,157,121,113
E05004312 : Bourton-on-the-Water,993,211,298,273,211
E05004313 : Campden-Vale,"1,522",449,479,370,224
E05004314 : Chedworth,497,194,143,104,56
E05004315 : Churn Valley,495,187,150,97,61
E05004316 : Cirencester Beeches,"1,258",267,327,326,338
E05004317 : Cirencester Chesterton,"1,189",277,365,261,286
E05004318 : Cirencester Park,931,269,324,180,158
E05004319 : Cirencester Stratton-Whiteway,"1,034",334,304,240,156
E05004320 : Cirencester Watermoor,"1,470",341,424,319,386
E05004321 : Ermin,536,224,161,85,66
E05004322 : Fairford,"1,070",343,284,282,161
E05004323 : Fosseridge,522,156,163,115,88
E05004324 : Grumbolds Ash,556,194,164,122,76
E05004325 : Hampton,501,199,149,94,59
E05004326 : Kempsford-Lechlade,"1,134",380,344,233,177
E05004327 : Moreton-in-Marsh,"1,020",236,297,265,222
E05004328 : Northleach,522,174,137,121,90
E05004329 : Rissingtons,658,195,206,163,94
E05004330 : Riversmeet,563,211,153,111,88
E05004331 : Sandywell,577,218,177,113,69
E05004332 : Tetbury,"1,592",479,447,350,316
E05004333 : Thames Head,556,236,164,79,77
E05004334 : Three Rivers,562,179,178,133,72
E05004335 : Water Park,"1,616",519,528,324,245
"E05004336 : Alvington, Aylburton and West Lydney",896,187,248,234,227
E05004337 : Awre,468,114,127,136,91
E05004338 : Berry Hill,442,58,92,149,143
E05004339 : Blaisdon and Longhope,449,114,160,114,61
E05004340 : Bream,942,142,244,307,249
E05004341 : Bromesberrow and Dymock,515,158,148,131,78
E05004342 : Christchurch and English Bicknor,402,109,121,106,66
E05004343 : Churcham and Huntley,443,107,138,132,66
E05004344 : Cinderford East,"1,107",114,250,356,387
E05004345 : Cinderford West,"1,570",158,339,523,550
E05004346 : Coleford Central,904,145,219,238,302
E05004347 : Coleford East,"1,638",243,371,493,531
E05004348 : Hartpury,443,152,126,103,62
E05004349 : Hewelsfield and Woolaston,470,172,150,93,55
E05004350 : Littledean and Ruspidge,"1,095",201,284,306,304
E05004351 : Lydbrook and Ruardean,"1,411",294,405,375,337
E05004352 : Lydney East,"1,463",191,348,431,493
E05004353 : Lydney North,504,89,141,155,119
E05004354 : Mitcheldean and Drybrook,"1,343",231,344,411,357
E05004355 : Newent Central,"1,131",217,309,303,302
E05004356 : Newland and St Briavels,952,243,249,267,193
E05004357 : Newnham and Westbury,817,214,265,214,124
E05004358 : Oxenhall and Newent North East,402,108,137,97,60
E05004359 : Pillowell,988,215,288,264,221
E05004360 : Redmarley,504,158,153,117,76
E05004361 : Tibberton,456,164,137,99,56
E05004362 : Tidenham,"1,476",414,528,287,247
E05004363 : Abbey,"3,062",703,"1,137",683,539
E05004364 : Barnwood,"3,105",716,"1,002",682,705
E05004365 : Barton and Tredworth,"3,482",335,868,796,"1,483"
E05004366 : Elmbridge,"1,662",411,559,385,307
E05004367 : Grange,"1,663",182,511,512,458
E05004368 : Hucclecote,"2,561",616,911,586,448
E05004369 : Kingsholm and Wotton,"2,523",472,844,484,723
E05004370 : Longlevens,"2,667",653,"1,026",618,370
E05004371 : Matson and Robinswood,"3,319",291,804,866,"1,358"
E05004372 : Moreland,"3,277",404,942,878,"1,053"
E05004373 : Podsmead,894,81,223,228,362
E05004374 : Quedgeley Fieldcourt,"3,491",636,"1,195",864,796
E05004375 : Quedgeley Severn Vale,"2,522",518,951,609,444
E05004376 : Tuffley,"1,642",221,458,451,512
E05004377 : Westgate,"2,619",511,876,440,792
E05004378 : Amberley and Woodchester,519,239,161,72,47
E05004379 : Berkeley,"1,265",293,338,356,278
E05004380 : Bisley,562,238,165,106,53
E05004381 : Cainscross,"2,163",404,614,617,528
E05004382 : Cam East,"1,153",322,339,267,225
E05004383 : Cam West,"1,186",244,357,294,291
E05004384 : Central,759,186,211,168,194
E05004385 : Chalford,"1,934",672,585,418,259
E05004386 : Coaley and Uley,631,264,156,127,84
E05004387 : Dursley,"2,178",510,527,531,610
E05004388 : Eastington and Standish,506,146,150,142,68
E05004389 : Farmhill and Paganhill,684,130,178,172,204
E05004390 : Hardwicke,"1,601",350,527,423,301
E05004391 : Kingswood,596,243,158,128,67
E05004392 : Minchinhampton,"1,064",424,283,211,146
E05004393 : Nailsworth,"2,002",642,541,432,387
"E05004394 : Randwick, Whiteshill and Ruscombe",492,191,135,102,64
E05004395 : Painswick,"1,070",487,317,186,80
E05004396 : Rodborough,"1,373",432,372,354,215
E05004397 : Severn,"1,305",417,335,319,234
E05004398 : Slade,740,128,189,212,211
E05004399 : Stonehouse,"2,306",483,554,642,627
E05004400 : The Stanleys,"1,085",311,315,256,203
E05004401 : Thrupp,703,259,193,158,93
E05004402 : Trinity,762,201,236,143,182
E05004403 : Uplands,680,149,230,161,140
E05004404 : Upton St Leonards,807,280,265,151,111
E05004405 : Vale,509,174,148,119,68
E05004406 : Valley,917,237,256,203,221
E05004407 : Wotton-under-Edge,"1,860",637,494,390,339
E05004408 : Ashchurch with Walton Cardiff,"1,541",472,574,293,202
E05008563 : Badgeworth,539,160,151,125,103
E05008564 : Brockworth,"2,247",418,700,564,565
E05008565 : Churchdown Brookfield,"1,089",361,404,193,131
E05004412 : Churchdown St John's,"2,222",530,837,454,401
E05008566 : Cleeve Grange,572,138,192,130,112
E05008567 : Cleeve Hill,"1,085",457,380,132,116
E05008568 : Cleeve St Michael's,"1,114",268,340,242,264
E05004416 : Cleeve West,"1,492",504,560,252,176
E05008569 : Coombe Hill,"1,444",396,452,351,245
E05004418 : Highnam with Haw Bridge,"1,152",383,412,208,149
E05008570 : Hucclecote,429,142,171,70,46
E05004420 : Innsworth with Down Hatherley,773,185,301,151,136
E05008571 : Isbourne,536,202,180,99,55
E05004422 : Northway,"1,644",230,506,476,432
E05008572 : Oxenton Hill,377,160,115,59,43
E05008573 : Shurdington,498,143,139,116,100
E05004425 : Tewkesbury Newtown,554,123,177,148,106
E05008574 : Tewkesbury Prior's Park,"1,326",227,330,295,474
E05004427 : Tewkesbury Town with Mitton,"1,507",326,459,354,368
E05004428 : Twyning,443,159,128,82,74
E05008575 : Winchcombe,"1,723",527,516,396,284
E05006760 : Ammerdown,673,215,172,170,116
"E05006761 : Ashwick, Chilcompton and Stratton","1,278",343,335,358,242
E05006762 : Beckington and Selwood,596,193,175,145,83
E05006763 : Butleigh and Baltonsborough,623,224,183,129,87
E05006764 : Chewton Mendip and Ston Easton,590,213,162,127,88
E05006765 : Coleford and Holcombe,"1,363",335,344,398,286
"E05006766 : Cranmore, Doulting and Nunney",630,169,151,189,121
E05006767 : Creech,664,139,174,191,160
E05006768 : Croscombe and Pilton,635,208,197,141,89
E05006769 : Frome Berkley Down,"1,205",209,329,352,315
E05006770 : Frome College,"1,415",302,440,365,308
E05006771 : Frome Keyford,"1,664",358,451,401,454
E05006772 : Frome Market,"1,655",343,468,379,465
E05006773 : Frome Oakfield,952,209,212,261,270
E05006774 : Frome Park,"1,440",235,378,424,403
E05006775 : Glastonbury St Benedict's,866,152,243,202,269
E05006776 : Glastonbury St Edmund's,669,142,193,147,187
E05006777 : Glastonbury St John's,697,108,203,182,204
E05006778 : Glastonbury St Mary's,691,147,225,151,168
E05006779 : Moor,715,151,223,195,146
E05006780 : Postlebury,580,187,155,158,80
E05006781 : Rode and Norton St Philip,614,242,201,104,67
E05006782 : Rodney and Westbury,552,197,159,106,90
E05006783 : St Cuthbert Out North,706,249,211,159,87
E05006784 : Shepton East,"1,916",332,474,491,619
E05006785 : Shepton West,"1,492",203,395,470,424
E05006786 : Street North,"1,393",242,352,361,438
E05006787 : Street South,"1,330",226,361,341,402
E05006788 : Street West,579,114,153,172,140
E05006789 : The Pennards and Ditcheat,595,173,164,161,97
E05006790 : Wells Central,571,129,175,124,143
E05006791 : Wells St Cuthbert's,"1,330",283,366,319,362
E05006792 : Wells St Thomas',"1,024",360,271,202,191
E05006793 : Wookey and St Cuthbert Out West,663,182,176,181,124
E05008893 : Axevale,"1,221",448,330,261,182
E05008894 : Berrow,577,75,164,176,162
E05008895 : Bridgwater Dunwear,"1,419",112,298,429,580
E05008896 : Bridgwater Eastover,"1,671",154,372,477,668
E05008897 : Bridgwater Fairfax,"2,612",188,632,716,"1,076"
E05008898 : Bridgwater Hamp,"1,575",134,311,447,683
E05008899 : Bridgwater Victoria,"2,175",276,618,528,753
E05008900 : Bridgwater Westover,"1,884",203,446,446,789
E05008901 : Bridgwater Wyndham,"1,092",230,306,327,229
E05008902 : Burnham Central,"2,104",326,586,553,639
E05008903 : Burnham North,"1,613",355,481,392,385
E05008904 : Cannington and Wembdon,"1,164",261,376,299,228
E05008905 : Cheddar and Shipham,"1,879",577,567,415,320
E05008906 : East Polden,581,198,158,126,99
E05008907 : Highbridge and Burnham Marine,"2,332",218,516,692,906
E05008908 : Huntspill and Pawlett,582,125,165,172,120
E05008909 : King's Isle,"1,209",280,347,343,239
E05008910 : Knoll,"1,311",340,404,355,212
E05008911 : North Petherton,"2,121",475,603,550,493
E05008912 : Puriton and Woolavington,"1,266",261,377,344,284
E05008913 : Quantocks,"1,235",358,355,308,214
E05008914 : Wedmore and Mark,"1,220",435,364,268,153
E05008915 : West Polden,627,227,157,163,80
E05006819 : Blackdown,650,194,173,171,112
E05006820 : Blackmoor Vale,"1,568",374,430,447,317
E05006821 : Bruton,749,171,190,219,169
E05006822 : Brympton,"2,554",582,879,631,462
E05006823 : Burrow Hill,623,193,170,165,95
E05006824 : Camelot,671,210,190,186,85
E05006825 : Cary,"1,510",402,397,396,315
E05006826 : Chard Avishayes,802,87,176,236,303
E05006827 : Chard Combe,619,82,134,164,239
E05006828 : Chard Crimchard,808,112,202,219,275
E05006829 : Chard Holyrood,911,87,190,251,383
E05006830 : Chard Jocelyn,712,82,161,212,257
E05006831 : Coker,"1,473",399,446,361,267
E05006832 : Crewkerne,"2,312",413,613,691,595
E05006833 : Curry Rivel,645,198,157,185,105
E05006834 : Eggwood,647,169,177,180,121
E05006835 : Hamdon,780,187,223,214,156
E05006836 : Ilminster,"1,750",328,474,520,428
E05006837 : Islemoor,756,190,217,202,147
E05006838 : Ivelchester,"1,032",262,339,258,173
E05006839 : Langport and Huish,843,157,226,246,214
E05006840 : Martock,"1,687",374,463,495,355
E05006841 : Milborne Port,820,193,237,232,158
E05006842 : Neroche,613,166,183,164,100
E05006843 : Northstone,836,272,234,201,129
E05006844 : Parrett,620,185,187,148,100
E05006845 : St Michael's,638,161,176,184,117
E05006846 : South Petherton,"1,332",365,378,318,271
E05006847 : Tatworth and Forton,655,122,175,200,158
E05006848 : Tower,669,201,204,169,95
E05006849 : Turn Hill,745,214,223,199,109
E05006850 : Wessex,"1,514",320,429,445,320
E05006851 : Wincanton,"1,601",292,391,463,455
E05006852 : Windwhistle,608,139,168,181,120
E05006853 : Yeovil Central,"2,624",380,674,682,888
E05006854 : Yeovil East,"2,487",266,573,658,990
E05006855 : Yeovil South,"2,744",620,788,752,584
E05006856 : Yeovil West,"2,151",364,574,553,660
E05006857 : Yeovil Without,"2,050",316,684,627,423
E05006858 : Bishop's Hull,"1,013",227,312,235,239
E05006859 : Bishop's Lydeard,"1,867",464,687,430,286
E05006860 : Blackdown,578,206,178,131,63
E05006861 : Bradford-on-Tone,643,207,190,138,108
E05006862 : Comeytrowe,"1,556",360,569,331,296
E05006863 : Milverton and North Deane,597,207,185,124,81
E05006864 : Monument,602,152,194,157,99
E05006865 : Neroche,601,216,192,126,67
E05006866 : North Curry and Stoke St Gregory,892,259,266,241,126
E05006867 : Norton Fitzwarren,797,133,262,225,177
E05006868 : Ruishton and Creech,"1,022",273,332,252,165
E05006869 : Staplegrove,"1,089",288,372,219,210
E05006870 : Taunton Blackbrook and Holway,"2,243",304,660,576,703
E05006871 : Taunton Eastgate,"1,730",365,566,337,462
E05006872 : Taunton Fairwater,"2,254",546,777,410,521
E05006873 : Taunton Halcon,"2,125",251,517,485,872
E05006874 : Taunton Killams and Mountfield,"1,083",315,381,214,173
E05006875 : Taunton Lyngford,"1,806",260,482,454,610
E05006876 : Taunton Manor and Wilton,"1,486",470,548,188,280
E05006877 : Taunton Pyrland and Rowbarton,"1,740",193,477,450,620
E05006878 : Trull,477,198,151,76,52
E05006879 : Wellington East,"1,090",192,276,288,334
E05006880 : Wellington North,"1,178",165,293,351,369
E05006881 : Wellington Rockwell Green and West,"1,747",353,529,434,431
E05006882 : West Monkton,"1,279",342,457,284,196
E05006883 : Wiveliscombe and West Deane,"1,121",271,305,314,231
E05008916 : Alcombe,635,82,153,195,205
E05008917 : Brendon Hills,357,95,93,126,43
E05008918 : Carhampton and Withycombe,302,52,83,81,86
E05008919 : Crowcombe and Stogumber,315,98,82,75,60
E05008920 : Dulverton and District,656,137,185,202,132
E05008921 : Dunster and Timberscombe,324,66,88,83,87
E05008922 : Greater Exmoor,295,44,85,110,56
E05008923 : Minehead Central,"1,137",170,300,313,354
E05008924 : Minehead North,550,94,153,125,178
E05008925 : Minehead South,647,101,180,154,212
E05008926 : Old Cleeve,625,148,187,174,116
E05008927 : Porlock and District,586,111,175,170,130
E05008928 : Quantock Vale,571,131,143,158,139
E05008929 : Watchet,"1,118",119,314,333,352
E05008930 : West Quantock,263,71,89,64,39
E05008931 : Williton,699,84,181,197,237
W05000001 : Aberffraw,379,67,82,108,122
W05000002 : Amlwch Port,771,64,177,216,314
W05000003 : Amlwch Rural,318,54,81,81,102
W05000004 : Beaumaris,587,144,148,137,158
W05000005 : Bodffordd,449,77,127,127,118
W05000006 : Bodorgan,482,134,131,112,105
W05000007 : Braint,421,99,151,89,82
W05000008 : Bryngwran,548,78,137,146,187
W05000009 : Brynteg,482,98,139,130,115
W05000010 : Cadnant,388,136,138,63,51
W05000011 : Cefni,402,98,118,89,97
W05000882 : Cwm Cadnant,597,191,191,132,83
W05000013 : Cyngar,625,106,175,151,193
W05000014 : Gwyngyll,412,126,136,85,65
W05000015 : Holyhead Town,467,20,120,117,210
W05000883 : Kingsland,484,33,122,129,200
W05000017 : Llanbadrig,402,50,105,129,118
W05000884 : Llanbedrgoch,370,73,123,98,76
W05000019 : Llanddyfnan,337,80,109,84,64
W05000020 : Llaneilian,597,91,156,209,141
W05000021 : Llanfaethlu,438,77,112,134,115
W05000022 : Llanfair-yn-Neubwll,864,133,234,269,228
W05000885 : Llanfihangel Ysgeifiog,595,117,175,187,116
W05000024 : Llangoed,322,96,86,75,65
W05000025 : Llanidan,554,131,170,117,136
W05000026 : Llannerch-y-medd,572,65,140,197,170
W05000886 : London Road,494,26,108,118,242
W05000028 : Maeshyfryd,755,45,208,175,327
W05000029 : Mechell,445,77,102,154,112
W05000030 : Moelfre,274,48,94,60,72
W05000031 : Morawelon,495,23,115,105,252
W05000032 : Parc a'r Mynydd,346,42,102,90,112
W05000887 : Pentraeth,544,132,137,153,122
W05000034 : Porthyfelin,738,72,191,178,297
W05000035 : Rhosneigr,302,81,107,71,43
W05000036 : Rhosyr,624,112,182,148,182
W05000888 : Trearddur,573,150,201,124,98
W05000038 : Tudur,475,21,92,108,254
W05000039 : Tysilio,653,139,196,152,166
W05000040 : Valley,648,103,201,173,171
W05000041 : Aberdaron,263,52,51,102,58
W05000042 : Aberdovey,388,74,139,94,81
W05000043 : Abererch,371,58,94,128,91
W05000044 : Abermaw,835,81,210,228,316
W05000045 : Abersoch,224,63,67,46,48
W05000046 : Arllechwedd,417,114,114,116,73
W05000047 : Bala,597,80,128,177,212
W05000048 : Bethel,399,94,147,87,71
W05000049 : Bontnewydd,304,58,100,83,63
W05000050 : Botwnnog,269,34,58,106,71
W05000051 : Bowydd and Rhiw,632,54,156,173,249
W05000052 : Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,388,83,96,129,80
W05000053 : Bryn-crug/Llanfihangel,260,45,56,88,71
