KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05001870 : Pontrilas,"2,634","1,884",54,95
E05001871 : Ross-on-Wye East,"3,441","2,335",110,117
E05001872 : Ross-on-Wye West,"4,132","2,996",179,146
E05001873 : St Martins and Hinton,"9,099","6,766",458,324
E05001874 : St Nicholas,"5,021","3,845",125,204
E05001875 : Stoney Street,"2,186","1,459",73,85
E05001876 : Sutton Walls,"2,489","1,789",60,88
E05001877 : Three Elms,"7,797","5,908",289,212
E05001878 : Tupsley,"6,709","4,758",210,296
E05001879 : Upton,"2,101","1,496",48,57
E05001880 : Valletts,"2,436","1,690",68,105
E05001881 : Wormsley Ridge,"1,963","1,379",45,70
E05008136 : Abbey,"2,716","1,969",71,79
E05008137 : Albrighton,"3,303","2,294",97,113
E05008138 : Alveley and Claverley,"3,033","2,111",70,104
E05008139 : Bagley,"3,450","2,691",103,102
E05008140 : Battlefield,"3,192","2,534",123,78
"E05008141 : Bayston Hill, Column and Sutton","8,832","6,168",198,272
E05008142 : Belle Vue,"3,375","2,606",126,102
E05008143 : Bishop's Castle,"2,747","1,959",54,84
E05008144 : Bowbrook,"2,946","2,208",109,134
E05008145 : Bridgnorth East and Astley Abbotts,"5,007","3,551",147,161
E05008146 : Bridgnorth West and Tasley,"5,046","3,547",149,182
E05008147 : Broseley,"3,689","2,537",131,138
E05008148 : Brown Clee,"2,876","2,075",74,94
E05008149 : Burnell,"3,422","2,309",64,380
E05008150 : Castlefields and Ditherington,"3,107","2,239",186,97
E05008151 : Cheswardine,"3,032","2,165",95,120
E05008152 : Chirbury and Worthen,"2,276","1,677",53,71
E05008153 : Church Stretton and Craven Arms,"6,241","4,141",182,194
E05008154 : Clee,"3,388","2,403",85,100
E05008155 : Cleobury Mortimer,"5,366","3,665",113,187
E05008156 : Clun,"2,839","1,905",50,118
E05008157 : Copthorne,"2,816","2,105",68,107
E05008158 : Corvedale,"2,874","2,045",67,74
E05008159 : Ellesmere Urban,"2,727","1,926",115,87
E05008160 : Harlescott,"3,570","2,542",180,128
E05008161 : Highley,"2,666","1,747",114,89
E05008162 : Hodnet,"3,407","2,338",92,119
E05008163 : Llanymynech,"2,983","2,050",81,81
E05008164 : Longden,"2,893","2,026",85,93
E05008165 : Loton,"3,015","2,231",75,130
E05008166 : Ludlow East,"2,859","1,982",117,77
E05008167 : Ludlow North,"2,672","1,750",106,73
E05008168 : Ludlow South,"2,919","2,065",98,77
E05008169 : Market Drayton East,"3,529","2,375",158,100
E05008170 : Market Drayton West,"6,266","4,478",246,215
E05008171 : Meole,"3,038","2,168",143,109
E05008172 : Rea Valley,"3,051","2,142",82,113
E05008173 : Monkmoor,"3,267","2,158",142,143
E05008174 : Much Wenlock,"2,936","2,043",96,100
E05008175 : Oswestry East,"6,630","4,816",304,242
E05008176 : Oswestry South,"3,081","2,196",174,157
E05008177 : Oswestry West,"2,748","1,938",141,82
E05008178 : Porthill,"3,223","2,198",94,421
E05008179 : Prees,"3,142","2,188",103,126
E05008180 : Quarry and Coton Hill,"3,563","2,707",161,101
E05008181 : Radbrook,"2,924","2,112",79,155
E05008182 : Ruyton and Baschurch,"2,950","2,197",61,121
E05008183 : St Martin's,"3,175","2,303",117,98
E05008184 : St Oswald,"3,289","2,398",88,127
"E05008185 : Gobowen, Selattyn and Weston Rhyn","5,078","3,318",195,520
E05008186 : Severn Valley,"3,111","2,259",101,94
E05008187 : Shawbury,"3,477","2,600",68,93
E05008188 : Shifnal North,"3,528","2,483",106,112
E05008189 : Shifnal South and Cosford,"4,008","3,137",100,95
E05008190 : Sundorne,"2,829","2,089",134,103
E05008191 : Tern,"3,212","2,262",81,108
E05008192 : The Meres,"3,380","2,308",84,263
E05008193 : Underdale,"3,232","2,368",134,149
E05008194 : Wem,"5,974","4,182",197,255
E05008195 : Whitchurch North,"5,046","3,654",221,177
E05008196 : Whitchurch South,"3,173","2,304",129,121
E05008197 : Whittington,"2,994","2,093",82,110
E05008198 : Worfield,"2,754","1,948",51,109
E05008714 : Abbey Hulton and Townsend,"7,143","4,282",449,336
"E05008715 : Baddeley, Milton and Norton","12,551","8,376",502,463
E05008716 : Bentilee and Ubberley,"7,292","4,340",614,319
E05008717 : Birches Head and Central Forest Park,"8,659","6,126",483,378
E05008718 : Blurton East,"3,860","2,363",172,157
E05008719 : Blurton West and Newstead,"4,402","2,742",358,214
E05008720 : Boothen and Oak Hill,"4,423","3,081",287,279
E05008721 : Bradeley and Chell Heath,"4,140","2,554",234,201
E05008722 : Broadway and Longton East,"4,006","2,793",145,126
E05008723 : Burslem Central,"4,613","3,002",316,214
E05008724 : Burslem Park,"3,815","2,589",198,165
E05008725 : Dresden and Florence,"3,593","2,296",157,179
E05008726 : Eaton Park,"3,370","2,198",123,104
E05008727 : Etruria and Hanley,"4,881","2,951",349,386
E05008728 : Fenton East,"4,686","3,214",255,152
E05008729 : Fenton West and Mount Pleasant,"4,395","2,983",243,210
E05008730 : Ford Green and Smallthorne,"4,181","2,930",218,141
E05008731 : Goldenhill and Sandyford,"3,881","2,630",227,160
E05008732 : Great Chell and Packmoor,"7,311","4,983",292,281
E05008733 : Hanford and Trentham,"8,814","6,113",220,275
E05008734 : Hanley Park and Shelton,"5,635","2,962",195,"1,937"
E05008735 : Hartshill and Basford,"5,159","3,646",262,474
E05008736 : Hollybush and Longton West,"4,188","2,568",200,168
E05008737 : Joiner's Square,"3,902","2,560",307,251
E05008738 : Lightwood North and Normacot,"3,653","2,320",178,210
E05008739 : Little Chell and Stanfield,"4,514","2,811",319,231
E05008740 : Meir Hay,"3,612","2,762",89,127
E05008741 : Meir North,"3,954","2,285",314,182
E05008742 : Meir Park,"3,806","2,800",73,126
E05008743 : Meir South,"4,025","2,422",301,190
E05008744 : Moorcroft,"3,704","2,339",299,267
E05008745 : Penkhull and Stoke,"4,906","3,380",206,347
E05008746 : Sandford Hill,"4,799","3,248",243,192
E05008747 : Sneyd Green,"3,821","2,521",195,176
E05008748 : Springfields and Trent Vale,"5,014","3,414",294,306
E05008749 : Tunstall,"4,399","2,766",283,216
E05008750 : Weston Coyney,"3,701","2,393",115,120
E05001882 : Apley Castle,"2,315","1,746",71,96
E05001883 : Arleston,"2,554","1,744",152,113
E05001884 : Brookside,"5,024","3,407",396,230
E05001885 : Church Aston and Lilleshall,"2,327","1,614",58,109
E05001886 : College,"2,263","1,444",139,153
E05001887 : Cuckoo Oak,"3,903","2,383",300,160
E05001888 : Dawley Magna,"7,235","5,190",365,269
E05001889 : Donnington,"4,915","3,263",303,201
E05001890 : Dothill,"1,836","1,284",70,56
E05001891 : Edgmond,"2,654","1,457",40,694
E05001892 : Ercall,"2,262","1,505",68,78
E05001893 : Ercall Magna,"2,100","1,513",45,56
E05001894 : Hadley and Leegomery,"8,188","5,754",409,381
E05001895 : Haygate,"2,359","1,629",137,77
E05001896 : Horsehay and Lightmoor,"3,081","2,405",80,124
E05001897 : Ironbridge Gorge,"2,067","1,492",68,74
E05001898 : Ketley and Oakengates,"7,110","4,950",328,251
E05001899 : Lawley and Overdale,"3,878","3,014",166,162
E05001900 : Madeley,"4,042","2,663",179,150
E05001901 : Malinslee,"4,375","2,780",364,217
E05001902 : Muxton,"4,772","3,570",182,213
E05001903 : Newport East,"2,139","1,381",65,249
E05001904 : Newport North,"2,306","1,611",62,188
E05001905 : Newport South,"1,963","1,299",45,141
E05001906 : Newport West,"2,216","1,425",56,319
E05001907 : Park,"1,815","1,243",51,53
E05001908 : Priorslee,"4,652","3,532",123,203
E05001909 : St Georges,"4,583","3,291",203,192
E05001910 : Shawbirch,"2,442","1,911",67,105
E05001911 : The Nedge,"6,952","4,987",435,282
E05001912 : Woodside,"4,629","2,863",427,277
E05001913 : Wrockwardine,"4,374","3,209",128,164
E05001914 : Wrockwardine Wood and Trench,"4,948","3,388",224,176
E05006902 : Brereton and Ravenhill,"4,734","3,233",213,159
E05006903 : Cannock East,"5,295","3,486",326,179
E05006904 : Cannock North,"5,170","3,374",374,212
E05006905 : Cannock South,"5,568","3,700",363,253
E05006906 : Cannock West,"5,200","3,589",181,205
E05006907 : Etching Hill and The Heath,"5,186","3,584",188,184
E05006908 : Hagley,"3,361","2,436",142,114
E05006909 : Hawks Green,"5,685","4,823",178,189
E05006910 : Heath Hayes East and Wimblebury,"4,841","3,604",178,157
E05006911 : Hednesford Green Heath,"3,836","2,848",146,138
E05006912 : Hednesford North,"5,263","3,674",278,183
E05006913 : Hednesford South,"4,013","2,951",116,159
E05006914 : Norton Canes,"5,541","3,925",252,171
E05006915 : Rawnsley,"3,729","2,705",173,133
E05006916 : Western Springs,"4,852","3,374",203,168
E05006917 : Abbey,"2,131","1,600",32,69
E05006918 : Anglesey,"4,908","3,475",302,222
E05006919 : Bagots,"1,985","1,385",36,90
E05006920 : Branston,"5,407","4,104",161,170
E05006921 : Brizlincote,"4,058","2,989",90,132
E05006922 : Burton,"2,755","2,070",144,90
E05006923 : Churnet,"2,135","1,442",62,145
E05006924 : Crown,"2,742","1,511",46,74
E05006925 : Eton Park,"4,423","3,042",286,187
E05006926 : Heath,"4,497","3,280",133,128
E05006927 : Horninglow,"6,193","4,322",275,262
E05006928 : Needwood,"4,039","2,836",105,149
E05006929 : Rolleston on Dove,"2,375","1,568",58,92
E05006930 : Shobnall,"5,072","3,516",295,234
E05006931 : Stapenhill,"5,850","3,943",339,202
E05006932 : Stretton,"5,756","4,169",131,200
E05006933 : Town,"4,962","3,769",143,156
E05006934 : Tutbury and Outwoods,"4,302","3,021",112,142
E05006935 : Weaver,"1,560","1,120",41,39
E05006936 : Winshill,"6,041","4,119",332,226
E05006937 : Yoxall,"1,868","1,297",48,68
E05006938 : All Saints,"2,604","1,714",70,80
E05006939 : Alrewas and Fradley,"4,316","3,143",106,181
E05006940 : Armitage with Handsacre,"3,970","2,791",155,138
E05006941 : Boley Park,"3,712","2,657",95,124
E05006942 : Boney Hay,"2,340","1,510",91,77
E05006943 : Bourne Vale,"1,924","1,174",63,81
E05006944 : Burntwood Central,"2,366","1,648",64,61
E05006945 : Chadsmead,"2,696","1,845",158,114
E05006946 : Chase Terrace,"3,901","2,896",130,133
E05006947 : Chasetown,"2,771","1,927",152,102
E05006948 : Colton and Mavesyn Ridware,"1,366",934,29,59
E05006949 : Curborough,"3,745","2,460",174,178
E05006950 : Fazeley,"3,533","2,461",179,129
E05006951 : Hammerwich,"2,670","1,727",61,70
E05006952 : Highfield,"3,054","2,203",63,93
E05006953 : King's Bromley,"1,211",864,28,46
E05006954 : Leomansley,"4,990","3,641",150,162
E05006955 : Little Aston,"2,093","1,384",51,127
E05006956 : Longdon,"1,412",932,27,43
E05006957 : Mease and Tame,"2,680","1,844",74,131
E05006958 : St John's,"4,743","3,463",143,201
E05006959 : Shenstone,"2,428","1,624",57,106
E05006960 : Stonnall,"1,162",790,19,46
E05006961 : Stowe,"3,767","2,538",180,131
E05006962 : Summerfield,"2,802","1,952",158,89
E05006963 : Whittington,"2,501","1,740",54,91
E05006964 : Audley and Bignall End,"4,440","3,100",156,170
E05006965 : Bradwell,"4,554","3,090",174,167
E05006966 : Butt Lane,"4,129","2,691",207,189
E05006967 : Chesterton,"5,361","3,878",258,245
E05006968 : Clayton,"3,041","2,066",97,136
E05006969 : Cross Heath,"4,364","2,764",221,362
E05006970 : Halmerend,"2,788","1,915",63,95
E05006971 : Holditch,"3,311","2,324",214,122
E05006972 : Keele,"3,865","1,230",11,"2,501"
E05006973 : Kidsgrove,"5,071","3,579",179,204
E05006974 : Knutton and Silverdale,"3,093","2,009",169,162
E05006975 : Loggerheads and Whitmore,"5,173","3,463",125,226
E05006976 : Madeley,"3,121","2,147",92,157
E05006977 : May Bank,"4,614","3,347",142,177
E05006978 : Newchapel,"2,594","1,824",63,80
E05006979 : Porthill,"3,066","2,237",106,124
E05006980 : Ravenscliffe,"3,102","2,157",86,87
E05006981 : Seabridge,"4,185","2,943",134,172
E05006982 : Silverdale and Parksite,"2,699","1,744",131,178
E05006983 : Talke,"2,950","1,846",120,105
E05006984 : Thistleberry,"4,402","2,791",156,365
E05006985 : Town,"4,034","2,449",214,644
E05006986 : Westlands,"4,067","2,767",110,220
E05006987 : Wolstanton,"4,311","3,207",150,175
E05006988 : Bilbrook,"3,109","2,147",130,140
E05006989 : Brewood and Coven,"4,898","3,334",119,170
E05006990 : Cheslyn Hay North and Saredon,"3,295","2,310",111,113
E05006991 : Cheslyn Hay South,"2,927","2,106",86,104
E05006992 : Codsall North,"2,897","1,953",96,110
E05006993 : Codsall South,"2,924","2,065",75,114
E05006994 : Essington,"3,623","2,588",128,120
E05006995 : Featherstone and Shareshill,"4,529","2,908",187,193
E05006996 : Great Wyrley Landywood,"3,773","2,637",151,183
E05006997 : Great Wyrley Town,"4,649","3,092",173,169
E05006998 : Himley and Swindon,"1,488",916,41,38
E05006999 : Huntington and Hatherton,"3,807","2,758",166,133
E05007000 : Kinver,"5,371","3,602",137,231
E05007001 : Pattingham and Patshull,"1,685","1,187",41,68
E05007002 : Penkridge North East and Acton Trussell,"2,834","1,925",72,93
E05007003 : Penkridge South East,"3,341","2,428",88,125
E05007004 : Penkridge West,"1,615","1,124",50,63
E05007005 : Perton Dippons,"1,539","1,162",31,60
E05007006 : Perton East,"1,743","1,336",43,89
E05007007 : Perton Lakeside,"4,910","3,824",234,212
E05007008 : Trysull and Seisdon,"1,645","1,140",53,59
"E05007009 : Wheaton Aston, Bishopswood and Lapley","3,127","2,154",85,105
E05007010 : Wombourne North and Lower Penn,"4,701","3,352",134,231
E05007011 : Wombourne South East,"2,717","1,788",87,94
E05007012 : Wombourne South West,"3,571","2,582",152,141
E05007013 : Barlaston and Oulton,"2,953","1,986",76,113
E05007014 : Baswich,"3,171","2,206",58,137
E05007015 : Chartley,"1,444","1,000",25,49
E05007016 : Church Eaton,"1,677","1,141",21,54
E05007017 : Common,"3,468","2,647",156,230
E05007018 : Coton,"3,637","2,538",133,549
E05007019 : Eccleshall,"5,054","3,447",98,168
E05007020 : Forebridge,"4,010","3,059",166,312
E05007021 : Fulford,"4,355","2,865",131,134
E05007022 : Gnosall and Woodseaves,"4,826","3,407",86,187
E05007023 : Haywood and Hixon,"4,859","3,426",109,167
E05007024 : Highfields and Western Downs,"4,886","3,450",287,223
E05007025 : Holmcroft,"4,921","3,526",176,222
E05007026 : Littleworth,"5,762","3,695",162,459
E05007027 : Manor,"4,599","3,156",222,170
E05007028 : Milford,"3,935","2,681",64,501
E05007029 : Milwich,"1,437","1,053",21,54
E05007030 : Penkside,"3,305","2,342",204,133
E05007031 : Rowley,"3,274","2,434",110,153
E05007032 : St. Michael's,"3,615","2,750",100,143
E05007033 : Seighford,"2,592","1,748",46,83
E05007034 : Stonefield and Christchurch,"4,033","2,965",138,133
E05007035 : Swynnerton,"3,373","2,365",82,128
E05007036 : Tillington,"3,166","2,153",147,125
E05007037 : Walton,"4,270","2,958",109,116
E05007038 : Weeping Cross,"4,675","3,276",101,178
E05007039 : Alton,"1,056",710,37,39
E05007040 : Bagnall and Stanley,"1,174",817,20,44
E05007041 : Biddulph East,"4,431","3,085",234,205
E05007042 : Biddulph Moor,"1,282",888,20,46
E05007043 : Biddulph North,"3,830","2,525",82,90
E05007044 : Biddulph South,"1,144",696,22,30
E05007045 : Biddulph West,"3,992","2,744",109,110
E05007046 : Brown Edge and Endon,"3,492","2,352",79,125
E05007047 : Caverswall,"1,319",938,23,43
E05007048 : Cellarhead,"2,364","1,544",50,74
E05007049 : Cheadle North East,"2,665","1,783",109,83
E05007050 : Cheadle South East,"2,613","1,776",69,79
E05007051 : Cheadle West,"3,739","2,605",87,130
E05007052 : Checkley,"4,373","3,148",125,148
E05007053 : Cheddleton,"4,014","2,919",99,129
E05007054 : Churnet,"2,400","1,664",40,84
E05007055 : Dane,"1,206",882,22,37
E05007056 : Forsbrook,"3,873","2,631",78,114
E05007057 : Hamps Valley,"1,382","1,009",38,31
E05007058 : Horton,"1,416",974,19,54
E05007059 : Ipstones,"1,415",985,44,45
E05007060 : Leek East,"3,650","2,559",121,124
E05007061 : Leek North,"3,774","2,525",157,126
E05007062 : Leek South,"4,156","2,993",168,156
E05007063 : Leek West,"3,461","2,472",105,126
E05007064 : Manifold,"1,449","1,061",30,38
E05007065 : Werrington,"2,415","1,703",44,69
E05007066 : Amington,"5,963","4,221",306,223
E05007067 : Belgrave,"5,617","4,096",263,225
E05007068 : Bolehall,"5,593","3,973",245,196
E05007069 : Castle,"5,477","4,029",252,149
E05007070 : Glascote,"5,744","3,889",380,229
E05007071 : Mercian,"4,847","3,316",218,156
E05007072 : Spital,"5,059","3,463",182,194
E05007073 : Stonydelph,"5,847","4,446",308,227
E05007074 : Trinity,"5,656","4,260",135,184
E05007075 : Wilnecote,"7,030","5,495",252,229
E05007457 : Arley and Whitacre,"4,064","2,941",186,142
E05007458 : Atherstone Central,"2,971","2,156",174,71
E05007459 : Atherstone North,"2,475","1,684",100,86
E05007460 : Atherstone South and Mancetter,"2,697","1,791",99,91
E05007461 : Baddesley and Grendon,"2,954","2,028",95,97
E05007462 : Coleshill North,"2,430","1,912",59,77
E05007463 : Coleshill South,"2,405","1,713",89,66
E05007464 : Curdworth,"2,469","1,793",67,86
E05007465 : Dordon,"2,357","1,703",103,75
E05007466 : Fillongley,"2,484","1,800",65,79
E05007467 : Hartshill,"2,800","1,984",113,89
E05007468 : Hurley and Wood End,"2,827","2,046",102,95
E05007469 : Kingsbury,"2,863","2,034",100,105
E05007470 : Newton Regis and Warton,"2,609","1,849",80,109
E05007471 : Polesworth East,"2,526","1,775",87,90
E05007472 : Polesworth West,"2,660","1,993",69,82
E05007473 : Water Orton,"2,579","1,949",74,94
E05007474 : Abbey,"6,568","4,687",489,231
E05007475 : Arbury,"5,075","3,836",193,161
E05007476 : Attleborough,"5,533","4,062",268,219
E05007477 : Bar Pool,"5,477","3,825",304,199
E05007478 : Bede,"4,828","3,136",289,186
E05007479 : Bulkington,"4,548","2,787",131,143
E05007480 : Camp Hill,"5,196","3,515",369,207
E05007481 : Exhall,"5,721","4,076",295,228
E05007482 : Galley Common,"6,193","4,828",214,225
E05007483 : Heath,"5,374","3,878",252,152
E05007484 : Kingswood,"5,026","3,444",302,193
E05007485 : Poplar,"6,069","4,409",290,190
E05007486 : St Nicolas,"5,165","3,742",113,176
E05007487 : Slough,"5,272","3,812",203,168
E05007488 : Weddington,"5,305","3,746",144,176
E05007489 : Wem Brook,"5,460","3,583",375,257
E05007490 : Whitestone,"5,280","3,807",132,169
E05007491 : Admirals,"5,466","4,242",176,211
E05007492 : Avon and Swift,"2,055","1,498",58,66
E05007493 : Benn,"5,293","4,156",291,192
E05007494 : Bilton,"3,508","2,325",79,119
E05007495 : Brownsover North,"4,808","4,007",151,156
E05007496 : Brownsover South,"3,518","2,667",227,128
E05007497 : Caldecott,"4,167","2,692",111,496
E05007498 : Dunchurch and Knightlow,"4,161","2,795",96,154
E05007499 : Earl Craven and Wolston,"4,355","3,115",128,126
E05007500 : Eastlands,"4,271","3,220",107,168
E05007501 : Fosse,"2,819","2,018",57,90
E05007502 : Hillmorton,"3,862","2,660",123,103
E05007503 : Lawford and King's Newnham,"2,625","1,954",103,79
E05007504 : Leam Valley,"1,387","1,034",26,35
E05007505 : New Bilton,"5,734","4,440",262,186
E05007506 : Newbold,"4,894","3,489",300,178
E05007507 : Overslade,"4,042","2,746",177,151
E05007508 : Paddox,"2,634","1,997",65,102
E05007509 : Ryton-on-Dunsmore,"1,344","1,004",41,40
E05007510 : Wolvey,"1,816","1,398",35,56
E05008585 : Alcester,"4,390","3,159",138,113
E05007512 : Aston Cantlow,"1,390",966,21,45
E05007944 : Bardon,"1,660","1,145",26,65
E05008586 : Bidford and Salford,"5,093","3,757",133,149
E05007515 : Brailes,"1,565","1,125",34,51
E05007945 : Burton Dassett,"1,794","1,392",35,45
E05007517 : Claverdon,"1,596","1,092",38,43
E05008587 : Ettington,"1,716","1,244",33,59
